城市,年份,舒适天数
七台河,2024,45
三亚,2023,25
三亚,2024,238
三明,2024,179
三门峡,2024,113
上海,2024,81
东莞,2023,7
东莞,2024,164
东营,2024,104
中山,2023,10
中山,2024,166
临夏,2024,11
临汾,2024,121
临沂,2024,110
临沧县,2024,111
丹东,2024,92
丽水,2024,119
丽江,2024,3
乌海,2024,76
乌鲁木齐,2024,59
乐山,2024,148
九江,2024,107
云浮,2023,5
云浮,2024,181
亳州,2024,93
伊宁,2024,59
伊春,2024,27
佛山,2023,6
佛山,2024,157
佳木斯,2024,47
保定,2024,102
保山,2024,98
信阳,2024,93
克州,2024,94
克拉玛依,2024,83
六安,2024,92
六盘水,2024,58
兰州,2024,58
凯里,2024,137
包头,2024,45
北京,2024,108
北海,2023,7
北海,2024,162
南京,2024,71
南充,2024,112
南平,2024,164
南昌,2024,112
南通,2024,152
南阳,2024,128
博州,2024,64
厦门,2023,3
厦门,2024,147
双鸭山,2024,48
合肥,2024,90
吉林,2024,66
吐鲁番,2024,64
吴忠,2024,67
周口,2024,95
呼和浩特,2024,41
和田,2024,82
咸宁,2024,99
咸阳,2024,117
哈密,2024,94
哈尔滨,2024,62
唐山,2024,93
商丘,2024,116
喀什,2024,87
嘉兴,2024,84
四平,2024,69
固原,2024,8
塔城,2024,41
大兴安岭,2024,9
大同,2024,13
大庸,2024,123
大理,2024,27
大连,2024,105
天水,2024,74
天津,2024,92
太原,2024,75
威海,2024,104
娄底,2024,123
孝感,2024,93
宁德,2024,121
安庆,2024,86
安康,2024,115
安阳,2024,122
安顺,2024,114
定西,2024,12
宜宾,2024,140
宜昌,2024,107
宜春,2024,117
宝鸡,2024,118
宣城,2024,96
宿州,2024,94
宿迁,2024,90
岳阳,2024,105
崇左,2023,5
崇左,2024,188
巢湖,2024,81
巴中,2024,127
巴州,2024,96
常州,2024,75
常德,2024,109
平凉,2024,31
平安县,2024,1
广元,2024,127
广安,2024,113
广州,2023,6
广州,2024,181
廊坊,2024,106
延安,2024,43
开封,2024,110
张家口,2024,60
张掖,2024,46
徐州,2024,94
德州,2024,103
德阳,2024,141
忻州,2024,46
怀化,2024,123
思茅,2024,159
恩施,2024,130
成都,2024,135
扬州,2024,76
承德,2024,69
抚州,2024,106
揭阳,2023,3
揭阳,2024,172
攀枝花,2024,181
文山县,2024,170
新乡,2024,125
新余,2024,113
无锡,2024,75
日照,2024,96
昆明,2024,87
昌吉,2024,73
昭通,2024,36
晋城,2024,91
景德镇,2024,101
曲靖,2024,82
朔州,2024,21
本溪,2024,87
来宾,2023,4
来宾,2024,174
杭州,2024,90
枣庄,2024,105
柳州,2023,4
柳州,2024,140
株洲,2024,110
桂林,2023,1
桂林,2024,151
梧州,2023,3
梧州,2024,177
楚雄,2024,106
榆林,2024,62
武威,2024,44
武汉,2024,88
毕节,2024,81
汕头,2023,8
汕头,2024,143
汕尾,2023,8
汕尾,2024,152
池州,2024,96
沈阳,2024,78
沧州,2024,100
河池地区,2023,3
河池地区,2024,168
河源,2023,2
河源,2024,219
泉州,2023,2
泉州,2024,138
泰安,2024,104
泰州,2024,78
洛阳,2024,132
济南,2024,108
济宁,2024,97
济源,2024,120
海口,2023,21
海口,2024,208
淄博,2024,93
淮北,2024,100
淮南,2024,86
深圳,2023,11
深圳,2024,156
清远,2023,3
清远,2024,166
温州,2024,119
渭南,2024,116
湖州,2024,85
湘潭,2024,116
湛江,2023,10
湛江,2024,194
滁州,2024,83
滨州,2024,103
漯河,2024,109
漳州,2023,3
漳州,2024,176
潍坊,2024,104
潮州,2023,4
潮州,2024,197
澳门,2023,10
澳门,2024,152
濮阳,2024,117
烟台,2024,98
焦作,2024,121
牡丹江,2024,46
玉林,2023,6
玉林,2024,165
玉溪,2024,89
珠海,2023,10
珠海,2024,148
白城,2024,63
白山,2024,47
白银,2024,34
百色,2023,5
百色,2024,169
益阳,2024,112
盐城,2024,73
盘锦,2024,98
眉山,2024,144
石嘴山,2024,21
石家庄,2024,108
石河子,2024,85
福州,2023,1
福州,2024,124
秦皇岛,2024,83
绍兴,2024,79
绥化,2024,55
绵阳,2024,142
聊城,2024,108
肇庆,2023,6
肇庆,2024,163
自贡,2024,135
舟山,2024,107
芜湖,2024,74
苏州,2024,75
茂名,2023,8
茂名,2024,183
荆州,2024,99
荆门,2024,108
莆田,2023,4
莆田,2024,130
莱芜,2024,113
菏泽,2024,107
萍乡,2024,112
营口,2024,94
葫芦岛,2024,85
蚌埠,2024,83
衡水,2024,105
衡阳,2024,228
衢州,2024,102
襄樊,2024,114
西安,2024,113
西沙,2023,31
西沙,2024,116
许昌,2024,118
贵港,2023,4
贵港,2024,164
贵阳,2024,119
贺州地区,2023,2
贺州地区,2024,167
资阳,2024,138
赣州,2023,2
赣州,2024,123
赤峰,2024,56
辽源,2024,66
辽阳,2024,91
达州,2024,110
运城,2024,119
连云港,2024,90
通化,2024,65
通辽,2024,71
遂宁,2024,119
遵义,2024,124
邢台,2024,120
邯郸,2024,108
邵阳,2024,150
郑州,2024,108
郴州,2024,150
都匀,2024,124
鄂州,2024,99
酒泉,2024,31
重庆,2024,105
金华,2024,86
金昌,2024,36
钦州,2023,5
钦州,2024,174
铁岭,2024,85
铜仁,2024,114
铜川,2024,77
铜陵,2024,80
银川,2024,60
锦州,2024,95
镇江,2024,78
长春,2024,70
长沙,2024,118
长治,2024,50
阜新,2024,71
阜阳,2024,86
防城港,2023,7
防城港,2024,169
阳江,2023,10
阳江,2024,162
阳泉,2024,74
阿克苏,2024,65
阿勒泰,2024,30
随州,2024,98
雅安,2024,145
青岛,2024,94
鞍山,2024,96
韶关,2023,2
韶关,2024,171
马鞍山,2024,82
驻马店,2024,110
高雄,2023,23
高雄,2024,191
鸡西,2024,50
鹤壁,2024,119
鹤岗,2024,36
鹰潭,2024,115
黄冈,2024,97
黄石,2024,94
黑河,2024,35
齐齐哈尔,2024,54
龙岩,2023,2
龙岩,2024,224
