城市,年月,最高温,最低温,平均气温
七台河,2023-12,3.0,-31.0,-12.5
七台河,2024-01,-4.0,-29.0,-12.0
七台河,2024-02,9.0,-26.0,-5.5
七台河,2024-03,10.0,-17.0,0.8
七台河,2024-04,29.0,-5.0,15.3
七台河,2024-05,26.0,2.0,18.6
七台河,2024-06,30.0,9.0,20.8
七台河,2024-07,32.0,13.0,27.6
七台河,2024-08,30.0,15.0,26.7
七台河,2024-09,27.0,1.0,20.9
七台河,2024-10,22.0,-4.0,12.9
七台河,2024-11,14.0,-17.0,0.9
三亚,2023-12,33.0,15.0,27.7
三亚,2024-01,30.0,16.0,26.5
三亚,2024-02,31.0,17.0,28.7
三亚,2024-03,33.0,19.0,30.3
三亚,2024-04,34.0,22.0,32.2
三亚,2024-05,35.0,24.0,32.6
三亚,2024-06,36.0,25.0,33.6
三亚,2024-07,34.0,25.0,32.2
三亚,2024-08,35.0,25.0,33.6
三亚,2024-09,35.0,23.0,32.1
三亚,2024-10,34.0,20.0,31.5
三亚,2024-11,33.0,18.0,29.5
三明,2023-12,30.0,0.0,16.9
三明,2024-01,27.0,-1.0,15.8
三明,2024-02,32.0,4.0,18.4
三明,2024-03,34.0,5.0,20.7
三明,2024-04,34.0,15.0,26.7
三明,2024-05,34.0,16.0,28.2
三明,2024-06,37.0,17.0,30.5
三明,2024-07,40.0,24.0,36.5
三明,2024-08,38.0,25.0,34.3
三明,2024-09,37.0,20.0,33.0
三明,2024-10,33.0,14.0,26.6
三明,2024-11,29.0,6.0,22.2
三门峡,2023-12,18.0,-10.0,4.5
三门峡,2024-01,13.0,-10.0,4.2
三门峡,2024-02,17.0,-8.0,5.3
三门峡,2024-03,27.0,-2.0,15.7
三门峡,2024-04,30.0,6.0,21.9
三门峡,2024-05,34.0,9.0,27.1
三门峡,2024-06,39.0,14.0,30.9
三门峡,2024-07,34.0,16.0,29.1
三门峡,2024-08,34.0,17.0,30.4
三门峡,2024-09,33.0,8.0,27.0
三门峡,2024-10,27.0,3.0,19.1
三门峡,2024-11,19.0,-3.0,12.4
上海,2023-12,22.0,-4.0,10.5
上海,2024-01,20.0,-2.0,9.6
上海,2024-02,22.0,0.0,9.5
上海,2024-03,29.0,0.0,16.2
上海,2024-04,27.0,11.0,20.8
上海,2024-05,34.0,14.0,25.5
上海,2024-06,33.0,19.0,27.5
上海,2024-07,39.0,23.0,34.8
上海,2024-08,40.0,26.0,36.1
上海,2024-09,36.0,20.0,30.9
上海,2024-10,31.0,13.0,22.7
上海,2024-11,24.0,5.0,18.1
东莞,2023-12,30.0,5.0,20.6
东莞,2024-01,27.0,3.0,19.9
东莞,2024-02,29.0,7.0,21.4
东莞,2024-03,31.0,8.0,23.5
东莞,2024-04,32.0,19.0,27.6
东莞,2024-05,32.0,21.0,28.3
