日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,-10°,-16°,中雪~多云,西北风4级,44 优
2024-03-02 周六,-8°,-17°,阴~多云,西北风4级,43 优
2024-03-03 周日,-7°,-16°,阴~晴,西北风3级,41 优
2024-03-04 周一,-4°,-17°,多云~晴,西北风3级,50 优
2024-03-05 周二,0°,-16°,多云~晴,西北风2级,46 优
2024-03-06 周三,-2°,-17°,阴~晴,西北风2级,54 良
2024-03-07 周四,-2°,-9°,阴~小雪,西北风2级,63 良
2024-03-08 周五,-4°,-17°,中雪~多云,北风2级,47 优
2024-03-09 周六,-3°,-17°,多云~晴,西北风3级,48 优
2024-03-10 周日,1°,-11°,阴~多云,西风1级,59 良
2024-03-11 周一,2°,-12°,多云,西北风2级,94 良
2024-03-12 周二,2°,-13°,多云~晴,西北风1级,50 优
2024-03-13 周三,4°,-7°,多云~阵雪,西南风微风,51 良
2024-03-14 周四,4°,-3°,多云~小雪,西北风1级,58 良
2024-03-15 周五,2°,-8°,小雪~晴,西北风4级,36 优
2024-03-16 周六,2°,-7°,阴~中雪,东风2级,32 优
2024-03-17 周日,-2°,-10°,阴~晴,西北风4级,27 优
2024-03-18 周一,-1°,-16°,多云,西北风2级,33 优
2024-03-19 周二,0°,-14°,多云,东北风1级,41 优
2024-03-20 周三,-1°,-16°,阴~晴,西北风3级,52 良
2024-03-21 周四,0°,-14°,多云~晴,西北风1级,56 良
2024-03-22 周五,4°,-3°,晴~多云,东南风3级,35 优
2024-03-23 周六,5°,-4°,阴~多云,西南风2级,29 优
2024-03-24 周日,2°,-9°,晴,西北风4级,35 优
2024-03-25 周一,4°,-10°,晴,西北风1级,49 优
2024-03-26 周二,8°,-7°,晴,北风1级,47 优
2024-03-27 周三,10°,2°,晴~阵雨,东南风3级,38 优
2024-03-28 周四,10°,-2°,小雨,南风3级,73 良
2024-03-29 周五,7°,-3°,小雪~多云,西南风2级,66 良
2024-03-30 周六,2°,-2°,阴~多云,西风4级,44 优
2024-03-31 周日,1°,-4°,阴~晴,西北风4级,41 优
