日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,27°,23°,小雨~多云,东北风3级,-
2023-12-02 周六,28°,23°,阴~多云,东北风3级,-
2023-12-03 周日,30°,23°,阴~晴,东北风3级,-
2023-12-04 周一,30°,21°,阴~多云,东南风1级,-
2023-12-05 周二,29°,22°,阴~多云,东风2级,-
2023-12-06 周三,29°,21°,雾~小雨,东风2级,-
2023-12-07 周四,28°,21°,阴~多云,东风2级,-
2023-12-08 周五,29°,19°,阴~晴,东风2级,-
2023-12-09 周六,30°,22°,雾~多云,东南风2级,-
2023-12-10 周日,31°,21°,多云,东南风2级,-
2023-12-11 周一,32°,22°,多云,东南风2级,-
2023-12-12 周二,30°,22°,多云,东风2级,-
2023-12-13 周三,30°,24°,多云,东北风2级,-
2023-12-14 周四,30°,22°,雾~多云,东风2级,-
2023-12-15 周五,33°,22°,阴~多云,东风2级,-
2023-12-16 周六,31°,20°,多云,东北风3级,-
2023-12-17 周日,27°,20°,多云,东北风4级,-
2023-12-18 周一,28°,22°,阴~多云,东北风3级,-
2023-12-19 周二,29°,20°,阴~多云,东北风3级,-
2023-12-20 周三,26°,19°,阴~多云,东北风2级,-
2023-12-21 周四,22°,17°,阴~多云,东北风2级,-
2023-12-22 周五,21°,15°,阴~多云,东北风2级,-
2023-12-23 周六,21°,15°,阴~多云,东北风2级,-
2023-12-24 周日,23°,15°,多云,东北风1级,-
2023-12-25 周一,25°,17°,多云,东北风2级,-
2023-12-26 周二,28°,17°,多云,东南风1级,-
2023-12-27 周三,25°,19°,阴~多云,东北风1级,-
2023-12-28 周四,28°,22°,阴~多云,东北风3级,-
2023-12-29 周五,26°,22°,阴~多云,东北风3级,-
2023-12-30 周六,28°,20°,阴~多云,东北风2级,-
2023-12-31 周日,26°,21°,多云,东风2级,31 优
