日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,26°,20°,中雨~多云,东南风2级,25 优
2024-04-02 周二,30°,20°,雾~多云,南风3级,30 优
2024-04-03 周三,31°,20°,小雨~暴雨,西南风2级,38 优
2024-04-04 周四,20°,18°,暴雨,东北风1级,19 优
2024-04-05 周五,23°,18°,中雨~小雨,北风1级,26 优
2024-04-06 周六,21°,18°,小雨~中雨,西南风1级,28 优
2024-04-07 周日,20°,18°,小雨~中雨,东北风1级,29 优
2024-04-08 周一,19°,16°,小雨~阴,西北风1级,17 优
2024-04-09 周二,19°,15°,阴~多云,东北风1级,18 优
2024-04-10 周三,26°,18°,阴~小雨,东北风1级,42 优
2024-04-11 周四,29°,20°,多云~小雨,西南风1级,47 优
2024-04-12 周五,26°,20°,小雨~阴,西风1级,55 良
2024-04-13 周六,29°,20°,阴~多云,南风1级,52 良
2024-04-14 周日,31°,21°,阴~小雨,西南风2级,51 良
2024-04-15 周一,34°,22°,阴~小雨,西风1级,55 良
2024-04-16 周二,31°,22°,阴,东北风1级,57 良
2024-04-17 周三,28°,21°,大雨~阴,西南风2级,36 优
2024-04-18 周四,30°,19°,阴~小雨,东北风1级,36 优
2024-04-19 周五,26°,21°,中雨,南风1级,24 优
2024-04-20 周六,27°,20°,小雨~中雨,西南风1级,32 优
2024-04-21 周日,26°,21°,阴~小雨,西南风1级,27 优
2024-04-22 周一,27°,20°,阴,西风1级,31 优
2024-04-23 周二,28°,20°,小雨~多云,西北风1级,30 优
2024-04-24 周三,23°,18°,阴~小雨,东北风1级,24 优
2024-04-25 周四,24°,19°,中雨~小雨,东南风1级,36 优
2024-04-26 周五,30°,20°,阴,西南风1级,35 优
2024-04-27 周六,33°,22°,阴~中雨,南风1级,32 优
2024-04-28 周日,30°,22°,阴~中雨,西南风2级,34 优
2024-04-29 周一,32°,21°,阴~中雨,西南风1级,38 优
2024-04-30 周二,23°,20°,大雨~小雨,西南风2级,32 优
