日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,33°,20°,多云~小雨,西北风2级,50 优
2024-09-02 周一,24°,18°,阴~多云,东南风5级,36 优
2024-09-03 周二,26°,18°,多云~阴,东南风4级,42 优
2024-09-04 周三,33°,20°,多云,东北风2级,50 优
2024-09-05 周四,28°,18°,阴~晴,西北风3级,41 优
2024-09-06 周五,28°,20°,阴~晴,东南风4级,37 优
2024-09-07 周六,30°,20°,阴~多云,东南风3级,47 优
2024-09-08 周日,30°,21°,多云,东南风4级,60 良
2024-09-09 周一,32°,20°,中雨,东南风3级,51 良
2024-09-10 周二,25°,18°,阴~多云,西北风1级,48 优
2024-09-11 周三,26°,17°,阴~晴,东南风4级,33 优
2024-09-12 周四,26°,18°,多云~晴,东南风4级,40 优
2024-09-13 周五,30°,20°,阴~晴,东风2级,43 优
2024-09-14 周六,29°,18°,阴,东风2级,56 良
2024-09-15 周日,26°,17°,阴~多云,东南风4级,40 优
2024-09-16 周一,29°,19°,多云~晴,东风3级,46 优
2024-09-17 周二,30°,20°,多云~晴,东风3级,47 优
2024-09-18 周三,31°,21°,阴~多云,东南风3级,61 良
2024-09-19 周四,26°,20°,雾~多云,东南风3级,27 优
2024-09-20 周五,27°,17°,多云~阴,西北风3级,36 优
2024-09-21 周六,24°,14°,雾~晴,西北风3级,29 优
2024-09-22 周日,23°,14°,阴~晴,东风4级,34 优
2024-09-23 周一,25°,13°,多云~晴,东风3级,40 优
2024-09-24 周二,28°,15°,多云~晴,东北风2级,51 良
2024-09-25 周三,28°,16°,多云,东北风1级,64 良
2024-09-26 周四,24°,16°,多云,东南风4级,97 良
2024-09-27 周五,25°,18°,多云~阴,东南风5级,84 良
2024-09-28 周六,26°,18°,多云,东南风4级,58 良
2024-09-29 周日,22°,12°,中雨,东南风2级,43 优
2024-09-30 周一,16°,8°,中雨~多云,西北风4级,25 优
