日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,6°,0°,阴,北风3级,40 优
2024-03-02 周六,9°,3°,多云~晴,西南风2级,58 良
2024-03-03 周日,14°,8°,晴~小雨,东南风2级,65 良
2024-03-04 周一,11°,10°,小雨,东南风3级,38 优
2024-03-05 周二,12°,6°,小雨,西北风3级,35 优
2024-03-06 周三,11°,4°,阴,北风3级,50 优
2024-03-07 周四,12°,5°,多云~晴,北风2级,46 优
2024-03-08 周五,12°,4°,阴~晴,北风3级,74 良
2024-03-09 周六,13°,5°,晴,东北风2级,89 良
2024-03-10 周日,14°,8°,晴~小雨,东南风3级,47 优
2024-03-11 周一,15°,7°,小雨~晴,西南风2级,61 良
2024-03-12 周二,16°,5°,阴,北风3级,102 轻度
2024-03-13 周三,14°,8°,多云~阴,东南风3级,47 优
2024-03-14 周四,14°,9°,阴~多云,东北风1级,58 良
2024-03-15 周五,18°,12°,多云~阴,东南风3级,43 优
2024-03-16 周六,19°,12°,阴,东南风1级,41 优
2024-03-17 周日,14°,8°,阴,东北风3级,70 良
2024-03-18 周一,11°,7°,阴,东北风2级,60 良
2024-03-19 周二,18°,5°,多云~晴,西北风3级,78 良
2024-03-20 周三,18°,7°,晴~多云,西北风3级,100 良
2024-03-21 周四,20°,11°,晴,东南风3级,63 良
2024-03-22 周五,24°,16°,多云~小雨,南风3级,67 良
2024-03-23 周六,23°,15°,阴~小雨,东风2级,75 良
2024-03-24 周日,21°,15°,小雨,北风2级,86 良
2024-03-25 周一,21°,11°,阴~小雨,西北风2级,55 良
2024-03-26 周二,15°,8°,阴~多云,西北风3级,37 优
2024-03-27 周三,17°,12°,阴~中雨,东南风3级,42 优
2024-03-28 周四,15°,11°,小雨~多云,西北风2级,51 良
2024-03-29 周五,27°,15°,阴,西南风3级,61 良
2024-03-30 周六,29°,13°,阴,西南风2级,68 良
2024-03-31 周日,18°,11°,雾~晴,东北风2级,78 良
