日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,29°,21°,多云~晴,西北风3级,31 优
2024-11-02 周六,26°,22°,阴~多云,东北风3级,29 优
2024-11-03 周日,28°,22°,多云~阴,东北风2级,47 优
2024-11-04 周一,29°,22°,阴~多云,北风2级,52 良
2024-11-05 周二,27°,21°,阴,东北风2级,36 优
2024-11-06 周三,27°,19°,晴,东北风2级,49 优
2024-11-07 周四,26°,18°,晴,东北风2级,40 优
2024-11-08 周五,26°,19°,晴~多云,东北风2级,38 优
2024-11-09 周六,27°,24°,阴~阵雨,东北风2级,40 优
2024-11-10 周日,25°,22°,阴,东北风3级,45 优
2024-11-11 周一,29°,22°,阴~多云,东风1级,54 良
2024-11-12 周二,30°,22°,晴~多云,东北风2级,51 良
2024-11-13 周三,28°,23°,多云~小雨,东北风2级,41 优
2024-11-14 周四,27°,23°,小雨,东北风3级,22 优
2024-11-15 周五,24°,23°,中雨~小雨,西北风1级,18 优
2024-11-16 周六,24°,23°,小雨~阴,东北风2级,16 优
2024-11-17 周日,27°,21°,阴,东北风2级,24 优
2024-11-18 周一,26°,20°,阴,东北风3级,24 优
2024-11-19 周二,19°,16°,小雨,东北风3级,14 优
2024-11-20 周三,17°,16°,小雨,北风3级,11 优
2024-11-21 周四,20°,16°,阴,东北风2级,20 优
2024-11-22 周五,20°,19°,多云~晴,东北风2级,26 优
2024-11-23 周六,21°,17°,晴~多云,东北风2级,35 优
2024-11-24 周日,21°,16°,小雨,东北风2级,40 优
2024-11-25 周一,21°,16°,小雨,东北风2级,29 优
2024-11-26 周二,21°,13°,多云,东北风3级,20 优
2024-11-27 周三,21°,12°,多云,东北风3级,29 优
2024-11-28 周四,21°,12°,阴~晴,东北风3级,34 优
2024-11-29 周五,21°,13°,晴,东北风3级,36 优
2024-11-30 周六,22°,13°,阴~晴,东北风2级,51 良
