日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,32°,22°,多云,北风2级,54 良
2024-09-02 周一,27°,21°,阴~晴,东北风4级,29 优
2024-09-03 周二,28°,20°,多云~晴,东北风2级,37 优
2024-09-04 周三,32°,24°,阴~雷阵雨,西南风2级,73 良
2024-09-05 周四,26°,21°,小雨~晴,东北风4级,42 优
2024-09-06 周五,28°,18°,晴,东北风3级,27 优
2024-09-07 周六,28°,21°,多云~晴,东南风2级,36 优
2024-09-08 周日,32°,23°,阴~晴,东南风2级,71 良
2024-09-09 周一,34°,25°,晴~多云,南风3级,55 良
2024-09-10 周二,32°,22°,多云~小雨,东北风4级,42 优
2024-09-11 周三,24°,22°,阴~多云,东北风4级,29 优
2024-09-12 周四,28°,23°,阴~小雨,东北风3级,49 优
2024-09-13 周五,27°,21°,阴,东北风3级,40 优
2024-09-14 周六,24°,19°,阴~多云,东北风4级,29 优
2024-09-15 周日,24°,18°,阴~晴,东北风4级,30 优
2024-09-16 周一,27°,22°,晴,东北风3级,39 优
2024-09-17 周二,29°,24°,阴,东北风3级,63 良
2024-09-18 周三,28°,24°,多云,东北风3级,47 优
2024-09-19 周四,31°,23°,多云~小雨,东南风1级,29 优
2024-09-20 周五,25°,16°,阴,东北风5级,28 优
2024-09-21 周六,22°,16°,多云~晴,东北风4级,28 优
2024-09-22 周日,23°,13°,晴,东北风4级,30 优
2024-09-23 周一,23°,14°,多云~晴,东北风2级,35 优
2024-09-24 周二,27°,14°,晴,南风2级,61 良
2024-09-25 周三,27°,18°,多云~晴,北风2级,80 良
2024-09-26 周四,24°,17°,阴~多云,东北风3级,39 优
2024-09-27 周五,25°,19°,多云~晴,东南风3级,37 优
2024-09-28 周六,28°,20°,多云~晴,东南风3级,63 良
2024-09-29 周日,29°,22°,多云,东南风3级,48 优
2024-09-30 周一,21°,12°,小雨,北风4级,26 优
