日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,23°,21°,中雨~阵雨,东北风1级,22 优
2024-05-02 周四,22°,21°,阴~阵雨,东北风2级,36 优
2024-05-03 周五,24°,23°,小雨~中雨,东南风4级,35 优
2024-05-04 周六,23°,21°,暴雨,东南风4级,24 优
2024-05-05 周日,26°,21°,阴~多云,西南风2级,30 优
2024-05-06 周一,32°,23°,阴~多云,南风1级,31 优
2024-05-07 周二,32°,23°,阴~阵雨,东南风1级,60 良
2024-05-08 周三,28°,22°,小雨~多云,东风2级,34 优
2024-05-09 周四,29°,22°,阴~多云,东南风3级,49 优
2024-05-10 周五,28°,24°,阴~雷阵雨,东南风3级,39 优
2024-05-11 周六,30°,24°,阴~阵雨,东南风3级,35 优
2024-05-12 周日,32°,23°,小雨~多云,西南风1级,32 优
2024-05-13 周一,29°,21°,多云,北风2级,44 优
2024-05-14 周二,30°,21°,多云,东南风2级,44 优
2024-05-15 周三,31°,20°,多云~晴,东南风2级,60 良
2024-05-16 周四,30°,24°,多云,东南风3级,55 良
2024-05-17 周五,28°,22°,多云~阵雨,东南风2级,46 优
2024-05-18 周六,28°,22°,阴~阵雨,东南风3级,43 优
2024-05-19 周日,25°,23°,中雨~暴雨,东风3级,43 优
2024-05-20 周一,24°,23°,小雨~阵雨,东北风2级,26 优
2024-05-21 周二,24°,23°,小雨~阴,东北风2级,26 优
2024-05-22 周三,29°,23°,雾~阵雨,北风2级,35 优
2024-05-23 周四,28°,24°,中雨~大雨,南风3级,29 优
2024-05-24 周五,26°,24°,中雨~多云,东南风2级,18 优
2024-05-25 周六,29°,23°,雾~多云,东南风2级,28 优
2024-05-26 周日,29°,25°,阴~阵雨,西南风2级,19 优
2024-05-27 周一,31°,24°,阴~暴雨,西南风3级,22 优
2024-05-28 周二,30°,24°,雾~雷阵雨,东风2级,37 优
2024-05-29 周三,29°,24°,阴~多云,东南风3级,40 优
2024-05-30 周四,28°,25°,小雨~中雨,东风2级,32 优
2024-05-31 周五,29°,24°,小雨~暴雨,东南风4级,27 优
