日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,14°,4°,阴,东南风2级,60 良
2024-05-02 周四,15°,5°,阴~小雨,东风1级,43 优
2024-05-03 周五,13°,3°,小雨~晴,西风1级,42 优
2024-05-04 周六,20°,3°,阴~晴,东北风1级,55 良
2024-05-05 周日,23°,5°,多云~晴,东北风1级,64 良
2024-05-06 周一,25°,7°,多云,东北风2级,68 良
2024-05-07 周二,23°,6°,阴~多云,东南风2级,64 良
2024-05-08 周三,25°,7°,阴~晴,东北风2级,53 良
2024-05-09 周四,28°,8°,多云,东风2级,56 良
2024-05-10 周五,17°,5°,中雨~多云,北风3级,63 良
2024-05-11 周六,21°,6°,阴~晴,东北风1级,51 良
2024-05-12 周日,24°,6°,晴,东风1级,54 良
2024-05-13 周一,28°,10°,晴~多云,东风2级,51 良
2024-05-14 周二,28°,10°,晴,东北风3级,44 优
2024-05-15 周三,27°,10°,多云,东风2级,55 良
2024-05-16 周四,27°,9°,多云,东北风2级,81 良
2024-05-17 周五,24°,12°,阴~小雨,东南风2级,98 良
2024-05-18 周六,24°,9°,阴~多云,东南风微风,67 良
2024-05-19 周日,26°,11°,阴~多云,东南风1级,75 良
2024-05-20 周一,28°,10°,阴~晴,东南风2级,88 良
2024-05-21 周二,29°,11°,晴,东南风2级,67 良
2024-05-22 周三,31°,11°,晴,东北风1级,62 良
2024-05-23 周四,32°,13°,晴~多云,东南风2级,69 良
2024-05-24 周五,27°,14°,小雨,北风2级,117 轻度
2024-05-25 周六,28°,12°,多云~晴,东北风2级,55 良
2024-05-26 周日,23°,12°,阴~晴,北风1级,55 良
2024-05-27 周一,27°,15°,多云~小雨,东风2级,49 优
2024-05-28 周二,18°,10°,小雨~中雨,西南风1级,49 优
2024-05-29 周三,11°,7°,小雨~多云,北风1级,36 优
2024-05-30 周四,22°,11°,多云,东风2级,42 优
2024-05-31 周五,21°,9°,阴~小雨,东南风1级,56 良
