日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,35°,24°,晴,西南风2级,71 良
2024-08-02 周五,36°,25°,阴~小雨,南风1级,61 良
2024-08-03 周六,34°,24°,小雨~中雨,南风2级,49 优
2024-08-04 周日,31°,23°,阴~多云,西南风3级,46 优
2024-08-05 周一,35°,24°,阴~小雨,东南风1级,50 优
2024-08-06 周二,35°,24°,多云,东风2级,51 良
2024-08-07 周三,26°,24°,大雨~中雨,东北风2级,31 优
2024-08-08 周四,32°,25°,阴,东北风2级,46 优
2024-08-09 周五,27°,20°,大雨~晴,西风1级,34 优
2024-08-10 周六,34°,19°,阴~晴,西北风3级,73 良
2024-08-11 周日,33°,18°,晴,西北风4级,37 优
2024-08-12 周一,33°,21°,晴,西北风1级,43 优
2024-08-13 周二,34°,22°,阴~晴,南风1级,59 良
2024-08-14 周三,33°,22°,阴~多云,东北风1级,58 良
2024-08-15 周四,32°,23°,阴~小雨,东北风1级,50 优
2024-08-16 周五,30°,23°,阴~雷阵雨,西风1级,46 优
2024-08-17 周六,25°,22°,中雨~小雨,东北风2级,42 优
2024-08-18 周日,31°,21°,阴~晴,南风2级,47 优
2024-08-19 周一,32°,20°,阴~多云,东北风1级,54 良
2024-08-20 周二,28°,20°,小雨~晴,北风1级,36 优
2024-08-21 周三,31°,20°,阴~晴,西南风1级,56 良
2024-08-22 周四,34°,21°,阴~晴,东南风1级,62 良
2024-08-23 周五,35°,23°,多云~晴,西南风1级,68 良
2024-08-24 周六,35°,25°,多云,东南风2级,61 良
2024-08-25 周日,35°,25°,阴~中雨,南风2级,54 良
2024-08-26 周一,30°,21°,多云,西北风3级,31 优
2024-08-27 周二,31°,18°,多云~晴,东北风2级,35 优
2024-08-28 周三,31°,18°,晴,东北风2级,54 良
2024-08-29 周四,32°,22°,多云,西南风1级,60 良
2024-08-30 周五,33°,23°,多云~晴,东北风微风,56 良
2024-08-31 周六,35°,23°,多云,南风2级,52 良
