日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,24°,11°,晴,东南风2级,46 优
2024-05-02 周四,26°,11°,多云,东南风2级,55 良
2024-05-03 周五,22°,14°,雾~阴,东南风3级,53 良
2024-05-04 周六,20°,14°,雾~小雨,东风2级,42 优
2024-05-05 周日,17°,12°,阴~多云,西北风1级,47 优
2024-05-06 周一,23°,12°,雾~晴,西北风2级,72 良
2024-05-07 周二,27°,13°,阴~晴,北风3级,72 良
2024-05-08 周三,26°,13°,晴,东北风2级,53 良
2024-05-09 周四,27°,14°,多云~晴,南风3级,51 良
2024-05-10 周五,29°,19°,晴~中雨,南风4级,67 良
2024-05-11 周六,25°,12°,扬沙~多云,东北风3级,228 重度
2024-05-12 周日,29°,12°,多云~晴,西北风3级,122 轻度
2024-05-13 周一,30°,17°,晴,南风1级,97 良
2024-05-14 周二,31°,14°,晴~小雨,西南风3级,91 良
2024-05-15 周三,24°,12°,多云~晴,东北风4级,70 良
2024-05-16 周四,29°,19°,多云~阴,西南风4级,59 良
2024-05-17 周五,32°,21°,晴~多云,西南风3级,73 良
2024-05-18 周六,35°,22°,阴~多云,东南风3级,70 良
2024-05-19 周日,32°,17°,阴~晴,东南风3级,59 良
2024-05-20 周一,27°,18°,多云,东北风3级,48 优
2024-05-21 周二,28°,17°,多云~晴,东南风3级,32 优
2024-05-22 周三,29°,19°,阴~晴,东南风3级,39 优
2024-05-23 周四,32°,18°,晴,东南风2级,65 良
2024-05-24 周五,31°,17°,晴~阴,东南风3级,55 良
2024-05-25 周六,27°,20°,多云~中雨,东南风3级,35 优
2024-05-26 周日,27°,19°,雾~多云,东北风2级,37 优
2024-05-27 周一,29°,15°,多云~晴,东北风3级,42 优
2024-05-28 周二,29°,17°,阴~晴,东南风2级,46 优
2024-05-29 周三,29°,21°,阴,东南风3级,46 优
2024-05-30 周四,26°,17°,阴~晴,东南风2级,44 优
2024-05-31 周五,33°,17°,阴~晴,西北风2级,63 良
