日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,23°,19°,小雨,西南风1级,23 优
2024-07-02 周二,23°,19°,中雨~小雨,西南风1级,22 优
2024-07-03 周三,25°,18°,阴~小雨,西南风1级,23 优
2024-07-04 周四,22°,18°,中雨~阴,南风1级,24 优
2024-07-05 周五,25°,18°,小雨,西南风1级,24 优
2024-07-06 周六,27°,19°,阴~小雨,西南风1级,24 优
2024-07-07 周日,26°,19°,阴~小雨,西南风1级,20 优
2024-07-08 周一,28°,18°,阴~小雨,西南风1级,26 优
2024-07-09 周二,26°,19°,阴~小雨,西南风1级,17 优
2024-07-10 周三,22°,19°,小雨,西风1级,19 优
2024-07-11 周四,21°,19°,中雨~小雨,西南风1级,14 优
2024-07-12 周五,23°,18°,小雨~阵雨,西南风1级,19 优
2024-07-13 周六,27°,19°,阴~小雨,西南风1级,17 优
2024-07-14 周日,23°,18°,中雨~小雨,南风1级,15 优
2024-07-15 周一,23°,18°,大雨~小雨,东南风1级,17 优
2024-07-16 周二,27°,18°,小雨,南风1级,20 优
2024-07-17 周三,27°,19°,阴~小雨,南风1级,19 优
2024-07-18 周四,29°,19°,阴~小雨,南风1级,22 优
2024-07-19 周五,27°,19°,小雨,南风1级,21 优
2024-07-20 周六,25°,19°,小雨,南风1级,16 优
2024-07-21 周日,23°,19°,大雨~小雨,西南风1级,15 优
2024-07-22 周一,26°,19°,阴~小雨,西风1级,17 优
2024-07-23 周二,26°,19°,阴~小雨,西风1级,21 优
2024-07-24 周三,26°,19°,阴~小雨,西风1级,18 优
2024-07-25 周四,30°,18°,阴~小雨,西北风1级,20 优
2024-07-26 周五,29°,20°,阴~小雨,西南风1级,19 优
2024-07-27 周六,31°,19°,阴~小雨,西南风1级,23 优
2024-07-28 周日,28°,19°,多云~阵雨,西南风1级,23 优
2024-07-29 周一,24°,19°,小雨,西南风1级,21 优
2024-07-30 周二,22°,18°,暴雨~大雨,西南风1级,16 优
2024-07-31 周三,22°,18°,小雨,东北风1级,22 优
