日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,18°,6°,晴,西北风4级,15 优
2024-10-02 周三,19°,6°,晴,西北风2级,31 优
2024-10-03 周四,20°,7°,晴,西北风1级,35 优
2024-10-04 周五,21°,10°,雾~晴,西南风1级,41 优
2024-10-05 周六,22°,12°,雾~多云,南风2级,49 优
2024-10-06 周日,20°,12°,雾~多云,北风1级,51 良
2024-10-07 周一,21°,8°,多云~晴,北风3级,40 优
2024-10-08 周二,21°,7°,晴,东北风3级,37 优
2024-10-09 周三,20°,11°,阴~多云,东南风1级,51 良
2024-10-10 周四,20°,7°,雾~晴,西北风1级,54 良
2024-10-11 周五,21°,9°,雾~晴,西南风2级,46 优
2024-10-12 周六,23°,10°,晴,南风1级,51 良
2024-10-13 周日,21°,14°,雾~阵雨,东南风1级,49 优
2024-10-14 周一,19°,12°,大雨~阵雨,东南风3级,47 优
2024-10-15 周二,16°,4°,多云~晴,西北风4级,20 优
2024-10-16 周三,18°,8°,晴~多云,北风1级,28 优
2024-10-17 周四,20°,10°,阴~多云,西北风微风,50 优
2024-10-18 周五,16°,2°,小雨~多云,北风3级,48 优
2024-10-19 周六,10°,2°,多云~晴,东北风5级,24 优
2024-10-20 周日,16°,10°,多云~小雨,东南风2级,30 优
2024-10-21 周一,12°,10°,小雨~中雨,东南风3级,26 优
2024-10-22 周二,12°,4°,大雨~小雨,北风3级,20 优
2024-10-23 周三,13°,4°,阴~晴,西北风3级,30 优
2024-10-24 周四,14°,7°,小雨~多云,东南风1级,49 优
2024-10-25 周五,19°,9°,小雨~多云,西南风微风,67 良
2024-10-26 周六,21°,9°,雾~多云,东风1级,65 良
2024-10-27 周日,12°,4°,阴~多云,北风4级,64 良
2024-10-28 周一,17°,9°,小雨~多云,东北风3级,41 优
2024-10-29 周二,18°,7°,阴~多云,东南风2级,66 良
2024-10-30 周三,20°,11°,雾~晴,北风2级,71 良
2024-10-31 周四,18°,10°,小雨~多云,南风2级,78 良
