日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,17°,15°,小雨~多云,北风1级,24 优
2024-05-02 周四,19°,15°,小雨~多云,北风1级,31 优
2024-05-03 周五,21°,17°,阴~小雨,东南风1级,35 优
2024-05-04 周六,20°,17°,中雨,东南风1级,30 优
2024-05-05 周日,28°,19°,雾~多云,西南风1级,33 优
2024-05-06 周一,31°,18°,阴~多云,西北风2级,32 优
2024-05-07 周二,31°,18°,阴~多云,西北风1级,39 优
2024-05-08 周三,29°,16°,多云,北风2级,55 良
2024-05-09 周四,26°,14°,阴~多云,东南风2级,60 良
2024-05-10 周五,26°,19°,阴~小雨,东南风2级,33 优
2024-05-11 周六,24°,21°,小雨~中雨,南风1级,40 优
2024-05-12 周日,23°,15°,小雨~多云,西北风2级,33 优
2024-05-13 周一,25°,14°,阴~晴,北风1级,51 良
2024-05-14 周二,29°,15°,晴,南风1级,42 优
2024-05-15 周三,30°,13°,阴~晴,北风2级,66 良
2024-05-16 周四,28°,12°,阴~多云,东南风1级,44 优
2024-05-17 周五,32°,16°,晴,东南风1级,35 优
2024-05-18 周六,34°,18°,晴~多云,东南风1级,43 优
2024-05-19 周日,32°,19°,阴~多云,东南风2级,40 优
2024-05-20 周一,23°,19°,小雨,东南风1级,37 优
2024-05-21 周二,23°,20°,中雨~多云,东南风1级,24 优
2024-05-22 周三,25°,20°,雾~小雨,北风1级,30 优
2024-05-23 周四,31°,21°,阴~多云,东南风1级,39 优
2024-05-24 周五,34°,23°,阴~多云,东南风1级,32 优
2024-05-25 周六,31°,22°,小雨~多云,东南风2级,22 优
2024-05-26 周日,35°,23°,雾~多云,西南风1级,20 优
2024-05-27 周一,26°,19°,大雨~小雨,北风1级,25 优
2024-05-28 周二,27°,16°,阴~晴,北风2级,33 优
2024-05-29 周三,29°,16°,多云,东南风2级,39 优
2024-05-30 周四,31°,20°,阴~多云,东南风1级,33 优
2024-05-31 周五,28°,21°,阴~中雨,北风2级,43 优
