日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,14°,1°,多云,西南风3级,30 优
2024-02-02 周五,12°,0°,多云~雨夹雪,西南风3级,36 优
2024-02-03 周六,11°,0°,阴~多云,西南风3级,27 优
2024-02-04 周日,10°,1°,阴~晴,西南风2级,29 优
2024-02-05 周一,11°,2°,多云,西南风2级,30 优
2024-02-06 周二,12°,2°,阴,西南风3级,31 优
2024-02-07 周三,11°,3°,阴~多云,西南风2级,28 优
2024-02-08 周四,14°,0°,阴~多云,西南风3级,31 优
2024-02-09 周五,14°,-4°,晴~多云,西南风1级,52 良
2024-02-10 周六,12°,0°,多云~小雨,东南风1级,84 良
2024-02-11 周日,12°,-1°,多云,南风2级,45 优
2024-02-12 周一,16°,-3°,阴~晴,西风3级,28 优
2024-02-13 周二,17°,0°,晴~多云,西南风2级,27 优
2024-02-14 周三,17°,4°,阴~多云,西风3级,27 优
2024-02-15 周四,17°,4°,阴~多云,西南风2级,28 优
2024-02-16 周五,15°,3°,阴~晴,西南风2级,37 优
2024-02-17 周六,16°,4°,多云~晴,西风3级,28 优
2024-02-18 周日,18°,5°,晴,西南风3级,30 优
2024-02-19 周一,16°,6°,阴~晴,西南风3级,29 优
2024-02-20 周二,16°,6°,阴~晴,西南风3级,29 优
2024-02-21 周三,15°,4°,多云,西南风3级,31 优
2024-02-22 周四,16°,7°,阴~多云,西南风3级,31 优
2024-02-23 周五,14°,6°,中雨~小雨,西南风2级,34 优
2024-02-24 周六,14°,4°,阴~晴,西南风3级,30 优
2024-02-25 周日,13°,5°,阴~晴,西南风3级,30 优
2024-02-26 周一,16°,5°,多云,西南风3级,31 优
2024-02-27 周二,17°,6°,多云,西南风3级,29 优
2024-02-28 周三,14°,5°,阴~晴,西南风3级,28 优
2024-02-29 周四,15°,6°,阴~晴,西南风3级,25 优
