日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,24°,8°,阴~多云,西北风3级,158 中度
2024-04-02 周二,17°,5°,阴~多云,东北风4级,65 良
2024-04-03 周三,17°,3°,阴~晴,西北风2级,42 优
2024-04-04 周四,19°,4°,晴~多云,西北风3级,74 良
2024-04-05 周五,18°,4°,阴~多云,西北风1级,53 良
2024-04-06 周六,21°,8°,多云,西南风1级,52 良
2024-04-07 周日,19°,7°,阴~多云,西南风2级,64 良
2024-04-08 周一,19°,4°,阴~晴,西北风3级,63 良
2024-04-09 周二,22°,7°,阴~多云,西南风3级,65 良
2024-04-10 周三,24°,8°,阴~晴,西南风3级,63 良
2024-04-11 周四,26°,7°,多云~晴,西南风2级,65 良
2024-04-12 周五,27°,12°,多云~阴,东南风3级,75 良
2024-04-13 周六,23°,5°,多云~晴,西北风2级,204 重度
2024-04-14 周日,20°,2°,晴,西北风4级,227 重度
2024-04-15 周一,20°,4°,晴~多云,西北风2级,87 良
2024-04-16 周二,25°,8°,多云~晴,南风2级,73 良
2024-04-17 周三,28°,13°,晴,东南风2级,80 良
2024-04-18 周四,28°,8°,阴~中雨,南风3级,76 良
2024-04-19 周五,15°,5°,多云~晴,北风4级,157 中度
2024-04-20 周六,19°,7°,晴,西风2级,71 良
2024-04-21 周日,24°,5°,扬沙~多云,西风4级,157 中度
2024-04-22 周一,16°,2°,扬沙~晴,西北风5级,201 重度
2024-04-23 周二,21°,6°,晴,西南风3级,71 良
2024-04-24 周三,27°,10°,晴,西风3级,105 轻度
2024-04-25 周四,28°,10°,晴,西风3级,92 良
2024-04-26 周五,22°,13°,阴~晴,西北风3级,82 良
2024-04-27 周六,26°,11°,多云,东南风2级,116 轻度
2024-04-28 周日,15°,6°,阴,西北风4级,73 良
2024-04-29 周一,15°,3°,多云~晴,北风4级,56 良
2024-04-30 周二,18°,5°,晴,南风2级,48 优
