日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,29°,15°,晴~多云,东北风2级,44 优
2024-09-02 周一,22°,10°,阴~中雨,西北风3级,38 优
2024-09-03 周二,14°,9°,阴~多云,西北风2级,19 优
2024-09-04 周三,24°,16°,晴,东南风3级,30 优
2024-09-05 周四,26°,19°,晴,东南风5级,36 优
2024-09-06 周五,28°,14°,晴~多云,东南风3级,52 良
2024-09-07 周六,17°,9°,阴~中雨,西北风4级,30 优
2024-09-08 周日,17°,9°,阴~晴,北风2级,20 优
2024-09-09 周一,19°,10°,晴,北风2级,33 优
2024-09-10 周二,21°,11°,多云~晴,西北风2级,40 优
2024-09-11 周三,21°,11°,阴~多云,西北风3级,32 优
2024-09-12 周四,19°,12°,阴~多云,北风2级,37 优
2024-09-13 周五,18°,10°,晴~小雨,北风1级,52 良
2024-09-14 周六,14°,8°,阴~多云,西北风3级,25 优
2024-09-15 周日,19°,9°,多云~晴,北风2级,34 优
2024-09-16 周一,20°,12°,晴,北风2级,49 优
2024-09-17 周二,22°,10°,晴,西北风2级,47 优
2024-09-18 周三,17°,9°,晴,西北风3级,41 优
2024-09-19 周四,19°,9°,晴,北风2级,48 优
2024-09-20 周五,22°,12°,晴,东北风1级,63 良
2024-09-21 周六,23°,13°,晴,北风1级,60 良
2024-09-22 周日,28°,13°,阴~多云,东北风1级,72 良
2024-09-23 周一,25°,14°,阴~多云,西北风2级,52 良
2024-09-24 周二,27°,14°,阴~阵雨,西北风2级,50 优
2024-09-25 周三,24°,13°,多云,北风2级,43 优
2024-09-26 周四,14°,8°,多云,北风3级,33 优
2024-09-27 周五,7°,3°,小雨~阵雨,西北风4级,18 优
2024-09-28 周六,9°,2°,阴~晴,西北风3级,20 优
2024-09-29 周日,11°,4°,晴,北风2级,38 优
2024-09-30 周一,14°,6°,晴,东北风2级,50 优
