日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,25°,20°,阴~阵雨,西风1级,56 良
2024-06-02 周日,23°,19°,阴~阵雨,西北风1级,34 优
2024-06-03 周一,24°,19°,雾~小雨,东南风1级,40 优
2024-06-04 周二,25°,20°,雾~阴,西南风1级,30 优
2024-06-05 周三,29°,20°,雾~多云,东南风2级,30 优
2024-06-06 周四,25°,20°,阴~阵雨,北风1级,42 优
2024-06-07 周五,24°,21°,小雨~阴,东南风1级,28 优
2024-06-08 周六,27°,19°,阴~多云,东北风1级,31 优
2024-06-09 周日,26°,21°,雾~晴,北风1级,33 优
2024-06-10 周一,28°,21°,雾~阴,东南风1级,40 优
2024-06-11 周二,31°,20°,雾~晴,东南风2级,36 优
2024-06-12 周三,33°,22°,雾~阴,东南风1级,32 优
2024-06-13 周四,33°,22°,多云,东南风1级,42 优
2024-06-14 周五,34°,24°,多云,东南风1级,55 良
2024-06-15 周六,34°,24°,阴~多云,东南风1级,59 良
2024-06-16 周日,31°,23°,阵雨,东北风2级,56 良
2024-06-17 周一,32°,23°,阴~阵雨,南风1级,34 优
2024-06-18 周二,29°,21°,阴~阵雨,西北风1级,37 优
2024-06-19 周三,31°,22°,雾~阴,东南风1级,32 优
2024-06-20 周四,31°,23°,雾~中雨,东南风1级,35 优
2024-06-21 周五,29°,22°,小雨~阴,西南风1级,28 优
2024-06-22 周六,34°,23°,多云~阴,东风1级,27 优
2024-06-23 周日,33°,22°,阴~多云,东北风微风,34 优
2024-06-24 周一,26°,21°,阴,东南风2级,33 优
2024-06-25 周二,29°,20°,阴~阵雨,东南风1级,41 优
2024-06-26 周三,22°,19°,大雨~中雨,东南风1级,26 优
2024-06-27 周四,25°,21°,小雨~阵雨,东南风1级,19 优
2024-06-28 周五,27°,22°,雾~阴,东南风1级,29 优
2024-06-29 周六,32°,22°,雾~多云,东南风1级,29 优
2024-06-30 周日,33°,22°,阴~大雨,东南风1级,32 优
