日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,20°,13°,阴~多云,东北风2级,43 优
2024-11-02 周六,21°,13°,多云~晴,东北风2级,53 良
2024-11-03 周日,24°,13°,多云,东北风2级,63 良
2024-11-04 周一,23°,14°,多云,东北风3级,82 良
2024-11-05 周二,20°,10°,多云~晴,东北风4级,49 优
2024-11-06 周三,20°,10°,晴,东北风4级,50 优
2024-11-07 周四,19°,10°,晴,东北风3级,49 优
2024-11-08 周五,19°,14°,阴~晴,东北风3级,53 良
2024-11-09 周六,21°,15°,多云,东北风3级,55 良
2024-11-10 周日,21°,14°,多云~晴,东北风2级,57 良
2024-11-11 周一,23°,13°,多云~晴,东北风3级,52 良
2024-11-12 周二,23°,14°,多云,东北风3级,57 良
2024-11-13 周三,26°,16°,多云,东北风2级,64 良
2024-11-14 周四,22°,18°,小雨~阴,东南风2级,60 良
2024-11-15 周五,22°,18°,多云~阴,东北风3级,57 良
2024-11-16 周六,23°,15°,多云~阴,东北风3级,71 良
2024-11-17 周日,13°,11°,阴,东北风5级,31 优
2024-11-18 周一,12°,9°,阴~多云,东北风5级,29 优
2024-11-19 周二,12°,9°,阴,东北风4级,34 优
2024-11-20 周三,12°,9°,阴,西北风2级,49 优
2024-11-21 周四,15°,9°,多云,东北风2级,46 优
2024-11-22 周五,15°,8°,多云,东北风3级,51 良
2024-11-23 周六,15°,10°,多云~小雨,东北风3级,68 良
2024-11-24 周日,13°,9°,多云~小雨,东北风3级,50 优
2024-11-25 周一,11°,5°,小雨~多云,西风4级,48 优
2024-11-26 周二,13°,5°,阴~晴,西北风3级,42 优
2024-11-27 周三,14°,3°,晴,西北风3级,49 优
2024-11-28 周四,16°,4°,晴,西北风3级,58 良
2024-11-29 周五,17°,4°,晴,西风2级,52 良
2024-11-30 周六,18°,5°,晴~多云,东南风1级,50 优
