日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,29°,17°,雾~小雨,东南风3级,78 良
2024-04-02 周二,17°,12°,多云~小雨,东北风3级,101 轻度
2024-04-03 周三,13°,10°,阴,北风3级,67 良
2024-04-04 周四,16°,6°,阴~多云,东北风2级,47 优
2024-04-05 周五,19°,10°,阴~多云,东南风2级,54 良
2024-04-06 周六,21°,8°,多云~阴,东南风2级,52 良
2024-04-07 周日,21°,11°,阴,东南风3级,56 良
2024-04-08 周一,24°,10°,雾~阴,东南风2级,59 良
2024-04-09 周二,24°,14°,多云,东风1级,55 良
2024-04-10 周三,24°,12°,阴~多云,东南风2级,60 良
2024-04-11 周四,23°,13°,阴,东南风2级,51 良
2024-04-12 周五,25°,15°,雾~晴,南风2级,56 良
2024-04-13 周六,21°,15°,雾~小雨,东南风4级,62 良
2024-04-14 周日,19°,14°,小雨~晴,东北风2级,37 优
2024-04-15 周一,24°,16°,雾~多云,西南风2级,40 优
2024-04-16 周二,24°,15°,雾~阴,东北风3级,69 良
2024-04-17 周三,24°,11°,阴~晴,东风2级,77 良
2024-04-18 周四,25°,13°,雾~阴,东南风3级,62 良
2024-04-19 周五,23°,12°,阴,东风3级,68 良
2024-04-20 周六,23°,15°,多云,西北风3级,73 良
2024-04-21 周日,25°,14°,多云~晴,东北风1级,73 良
2024-04-22 周一,26°,17°,雾~多云,东南风2级,59 良
2024-04-23 周二,25°,11°,雾~晴,西北风4级,115 轻度
2024-04-24 周三,27°,15°,晴~多云,西南风3级,96 良
2024-04-25 周四,28°,15°,多云,南风3级,75 良
2024-04-26 周五,29°,17°,晴,东南风2级,74 良
2024-04-27 周六,27°,18°,多云~阴,东南风3级,54 良
2024-04-28 周日,22°,14°,阴~晴,东北风3级,34 优
2024-04-29 周一,25°,14°,阴~小雨,东北风2级,55 良
2024-04-30 周二,16°,9°,阴~多云,东北风3级,55 良
