日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,10°,2°,阴~晴,西北风1级,27 优
2024-04-02 周二,15°,3°,阴~晴,东风3级,28 优
2024-04-03 周三,16°,3°,雾~晴,南风1级,45 优
2024-04-04 周四,18°,4°,多云~晴,东北风1级,53 良
2024-04-05 周五,20°,4°,晴,东风3级,38 优
2024-04-06 周六,20°,7°,多云~阴,东风2级,48 优
2024-04-07 周日,14°,7°,阴~小雨,西风2级,39 优
2024-04-08 周一,19°,6°,多云~阴,东风3级,27 优
2024-04-09 周二,22°,7°,阴~小雨,东南风1级,58 良
2024-04-10 周三,18°,9°,阴~晴,东南风1级,37 优
2024-04-11 周四,20°,9°,阴~多云,东北风1级,35 优
2024-04-12 周五,18°,6°,阴~多云,西风5级,77 良
2024-04-13 周六,19°,7°,阴~多云,东南风1级,65 良
2024-04-14 周日,18°,9°,阴,西风2级,52 良
2024-04-15 周一,23°,12°,阴,东风2级,58 良
2024-04-16 周二,14°,12°,中雨~大雨,西风3级,40 优
2024-04-17 周三,13°,11°,阴~多云,西南风2级,19 优
2024-04-18 周四,20°,9°,雾~晴,东风2级,26 优
2024-04-19 周五,23°,10°,多云~晴,东风3级,39 优
2024-04-20 周六,26°,11°,晴,东风2级,43 优
2024-04-21 周日,24°,11°,雾~晴,东北风1级,57 良
2024-04-22 周一,25°,12°,晴,东风1级,55 良
2024-04-23 周二,26°,12°,阴~晴,西北风1级,55 良
2024-04-24 周三,23°,13°,阴~多云,西风2级,48 优
2024-04-25 周四,19°,14°,阴~大雨,西北风2级,36 优
2024-04-26 周五,19°,7°,阴~晴,西北风4级,33 优
2024-04-27 周六,17°,9°,阴,东北风1级,43 优
2024-04-28 周日,16°,8°,阴,西风2级,43 优
2024-04-29 周一,19°,9°,多云,西风1级,43 优
2024-04-30 周二,21°,9°,多云~晴,西北风1级,46 优
