日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,6°,-3°,多云~雨夹雪,西北风2级,45 优
2024-11-02 周六,4°,-6°,阴~多云,西北风2级,24 优
2024-11-03 周日,6°,-3°,阴~多云,东南风1级,31 优
2024-11-04 周一,0°,-6°,阴~多云,西北风3级,24 优
2024-11-05 周二,-1°,-10°,阴~晴,西北风2级,23 优
2024-11-06 周三,-3°,-15°,阴~晴,西北风2级,22 优
2024-11-07 周四,0°,-13°,晴~多云,西风1级,36 优
2024-11-08 周五,3°,-8°,多云~晴,西风1级,30 优
2024-11-09 周六,7°,-9°,小雨,东南风2级,41 优
2024-11-10 周日,8°,-8°,小雨~晴,西风4级,47 优
2024-11-11 周一,2°,-4°,阴~小雪,西南风1级,47 优
2024-11-12 周二,-2°,-8°,阴~多云,西北风2级,31 优
2024-11-13 周三,0°,-5°,多云~晴,东南风2级,36 优
2024-11-14 周四,3°,-12°,多云~晴,西南风1级,78 良
2024-11-15 周五,1°,-4°,多云~雨夹雪,东风1级,59 良
2024-11-16 周六,1°,-15°,多云,西风3级,37 优
2024-11-17 周日,-8°,-16°,多云,西北风4级,23 优
2024-11-18 周一,-8°,-15°,晴,西北风3级,24 优
2024-11-19 周二,-3°,-10°,阴~晴,西南风2级,48 优
2024-11-20 周三,0°,-11°,多云,西南风2级,53 良
2024-11-21 周四,-3°,-15°,小雪~多云,北风2级,47 优
2024-11-22 周五,-4°,-16°,多云~晴,西北风2级,29 优
2024-11-23 周六,-2°,-15°,晴,西风1级,30 优
2024-11-24 周日,0°,-12°,晴~多云,东南风1级,31 优
2024-11-25 周一,0°,-5°,阴~中雪,东南风2级,32 优
2024-11-26 周二,-2°,-14°,大雪~暴雪,东南风3级,30 优
2024-11-27 周三,-9°,-20°,中雪~小雪,西南风2级,30 优
2024-11-28 周四,-7°,-20°,中雪~小雪,西南风3级,28 优
2024-11-29 周五,-5°,-17°,小雪,西风2级,33 优
2024-11-30 周六,-7°,-22°,阴~多云,西风3级,23 优
