日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,29°,20°,多云~晴,北风4级,44 优
2024-11-02 周六,25°,21°,阴~多云,东北风3级,36 优
2024-11-03 周日,30°,21°,多云,东北风2级,51 良
2024-11-04 周一,27°,19°,阴~多云,北风3级,49 优
2024-11-05 周二,27°,21°,阴~多云,东北风3级,40 优
2024-11-06 周三,27°,19°,晴,东北风3级,56 良
2024-11-07 周四,26°,17°,晴,东北风3级,47 优
2024-11-08 周五,26°,19°,晴,北风3级,48 优
2024-11-09 周六,28°,22°,阴~多云,东北风2级,49 优
2024-11-10 周日,27°,22°,阴,东北风3级,55 良
2024-11-11 周一,30°,22°,阴~晴,东北风2级,54 良
2024-11-12 周二,30°,22°,晴~多云,东北风2级,49 优
2024-11-13 周三,31°,23°,多云~小雨,东北风2级,45 优
2024-11-14 周四,30°,24°,阴~多云,东北风3级,29 优
2024-11-15 周五,25°,24°,小雨~阴,东北风1级,21 优
2024-11-16 周六,28°,24°,小雨~多云,东北风2级,23 优
2024-11-17 周日,29°,21°,阴~多云,东北风3级,25 优
2024-11-18 周一,25°,19°,阴~多云,东北风4级,26 优
2024-11-19 周二,20°,16°,阴~小雨,东北风4级,19 优
2024-11-20 周三,19°,15°,中雨~小雨,北风3级,20 优
2024-11-21 周四,22°,16°,阴~晴,北风3级,26 优
2024-11-22 周五,20°,16°,多云,北风3级,30 优
2024-11-23 周六,23°,17°,晴~多云,东北风3级,34 优
2024-11-24 周日,23°,18°,阴,东北风2级,40 优
2024-11-25 周一,21°,15°,雾~小雨,东北风2级,32 优
2024-11-26 周二,21°,12°,多云~晴,北风4级,25 优
2024-11-27 周三,21°,12°,多云~晴,东北风4级,32 优
2024-11-28 周四,20°,12°,阴~晴,北风4级,38 优
2024-11-29 周五,21°,12°,晴,东北风3级,40 优
2024-11-30 周六,22°,13°,阴~晴,东北风1级,52 良
