日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,-8°,-16°,阴~晴,西南风3级,-
2023-12-02 周六,-6°,-18°,阴~晴,西南风2级,-
2023-12-03 周日,-6°,-13°,阴~多云,西南风3级,-
2023-12-04 周一,1°,-13°,阴~多云,西南风4级,-
2023-12-05 周二,-1°,-13°,阴~多云,南风2级,-
2023-12-06 周三,1°,-18°,阴~晴,西南风3级,-
2023-12-07 周四,-8°,-18°,阴~阵雪,西南风2级,-
2023-12-08 周五,-9°,-17°,阴~多云,东北风1级,-
2023-12-09 周六,-9°,-23°,阴~晴,西南风3级,-
2023-12-10 周日,-17°,-25°,阴~晴,西风3级,-
2023-12-11 周一,-14°,-28°,多云~晴,西南风2级,-
2023-12-12 周二,-15°,-27°,阴~晴,西南风2级,-
2023-12-13 周三,-15°,-28°,多云~晴,西南风2级,-
2023-12-14 周四,-14°,-27°,多云~晴,西南风2级,-
2023-12-15 周五,-16°,-25°,阴~多云,西北风1级,-
2023-12-16 周六,-17°,-27°,阴~多云,西北风2级,-
2023-12-17 周日,-18°,-28°,阴~晴,西南风3级,-
2023-12-18 周一,-18°,-30°,阴~晴,西南风2级,-
2023-12-19 周二,-20°,-31°,阴~晴,西南风2级,-
2023-12-20 周三,-20°,-30°,阴~多云,西南风2级,-
2023-12-21 周四,-19°,-31°,阴~晴,西南风2级,-
2023-12-22 周五,-16°,-28°,小雪~晴,西南风2级,-
2023-12-23 周六,-12°,-25°,阴~晴,西南风2级,-
2023-12-24 周日,-10°,-25°,雾~多云,西南风3级,-
2023-12-25 周一,-12°,-17°,阴~小雪,西南风2级,-
2023-12-26 周二,-11°,-20°,阴~晴,西南风2级,-
2023-12-27 周三,-9°,-21°,阴~晴,西南风3级,-
2023-12-28 周四,-9°,-19°,多云,西南风2级,-
2023-12-29 周五,-5°,-19°,多云,西南风2级,-
2023-12-30 周六,-13°,-21°,雾~多云,东北风1级,-
2023-12-31 周日,-14°,-25°,晴~多云,西南风1级,38 优
