日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,32°,18°,阴,西南风2级,54 良
2024-06-02 周日,30°,17°,阴,东北风2级,67 良
2024-06-03 周一,33°,19°,晴~多云,西南风1级,53 良
2024-06-04 周二,31°,18°,阴,南风2级,76 良
2024-06-05 周三,28°,17°,阴,西南风3级,72 良
2024-06-06 周四,30°,21°,阴,西南风3级,77 良
2024-06-07 周五,24°,14°,小雨~晴,北风1级,68 良
2024-06-08 周六,36°,19°,阴~晴,西风2级,80 良
2024-06-09 周日,37°,17°,阴~晴,东风2级,69 良
2024-06-10 周一,38°,20°,小雨~多云,西风1级,77 良
2024-06-11 周二,41°,20°,阴~多云,西南风3级,90 良
2024-06-12 周三,40°,22°,多云~晴,东北风2级,98 良
2024-06-13 周四,40°,24°,阴~雷阵雨,北风2级,96 良
2024-06-14 周五,33°,23°,阴~多云,东北风3级,62 良
2024-06-15 周六,34°,19°,晴~多云,东北风3级,57 良
2024-06-16 周日,34°,21°,晴,西南风3级,72 良
2024-06-17 周一,37°,22°,多云~晴,南风3级,79 良
2024-06-18 周二,37°,23°,阴~多云,南风3级,80 良
2024-06-19 周三,37°,22°,多云,南风3级,75 良
2024-06-20 周四,37°,23°,多云,东风2级,99 良
2024-06-21 周五,28°,19°,阴~多云,东北风2级,59 良
2024-06-22 周六,36°,18°,晴,西北风2级,77 良
2024-06-23 周日,33°,21°,多云,西北风4级,106 轻度
2024-06-24 周一,33°,18°,晴,东北风2级,48 优
2024-06-25 周二,37°,19°,多云~晴,东南风2级,54 良
2024-06-26 周三,37°,25°,多云~晴,南风3级,83 良
2024-06-27 周四,36°,22°,多云,南风4级,69 良
2024-06-28 周五,37°,24°,阴~晴,南风3级,81 良
2024-06-29 周六,36°,22°,阴,东南风1级,81 良
2024-06-30 周日,34°,23°,阴~雷阵雨,东风1级,61 良
