日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,21°,2°,雾~晴,西南风2级,40 优
2024-03-02 周六,22°,5°,雾~晴,西南风2级,35 优
2024-03-03 周日,22°,6°,雾~晴,西南风3级,38 优
2024-03-04 周一,21°,7°,多云~晴,西南风3级,44 优
2024-03-05 周二,22°,5°,雾~晴,西南风3级,40 优
2024-03-06 周三,22°,5°,雾~晴,西南风2级,39 优
2024-03-07 周四,23°,3°,雾~晴,西南风2级,36 优
2024-03-08 周五,23°,4°,雾~晴,西南风3级,35 优
2024-03-09 周六,22°,4°,晴,西南风2级,30 优
2024-03-10 周日,22°,3°,雾~晴,西南风2级,42 优
2024-03-11 周一,24°,6°,晴,西南风1级,44 优
2024-03-12 周二,29°,7°,晴,西南风3级,66 良
2024-03-13 周三,23°,5°,晴,西南风3级,61 良
2024-03-14 周四,22°,7°,晴~多云,西南风3级,60 良
2024-03-15 周五,23°,7°,晴,西南风3级,62 良
2024-03-16 周六,24°,6°,多云,西南风2级,59 良
2024-03-17 周日,25°,8°,晴,西南风2级,63 良
2024-03-18 周一,24°,7°,晴~多云,西南风2级,55 良
2024-03-19 周二,24°,9°,多云~阵雨,西风2级,54 良
2024-03-20 周三,25°,9°,多云~阵雨,西南风1级,68 良
2024-03-21 周四,26°,10°,多云~小雨,西南风2级,56 良
2024-03-22 周五,20°,7°,小雨~晴,西南风3级,40 优
2024-03-23 周六,20°,7°,雾~晴,西南风2级,32 优
2024-03-24 周日,19°,6°,雾~多云,西南风2级,40 优
2024-03-25 周一,24°,8°,雾~多云,西南风1级,37 优
2024-03-26 周二,23°,9°,雾~阵雨,西南风2级,49 优
2024-03-27 周三,22°,8°,小雨~多云,西南风3级,50 优
2024-03-28 周四,24°,8°,多云,西南风1级,52 良
2024-03-29 周五,23°,11°,多云~阵雨,西南风2级,55 良
2024-03-30 周六,23°,13°,阴~多云,西南风2级,62 良
2024-03-31 周日,24°,11°,小雨~多云,西南风3级,57 良
