日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,8°,0°,多云~阴,东北风2级,201 重度
2024-01-02 周二,10°,0°,阴~晴,西南风1级,157 中度
2024-01-03 周三,10°,-1°,晴,南风1级,60 良
2024-01-04 周四,14°,0°,晴,西南风3级,66 良
2024-01-05 周五,13°,0°,阴,北风2级,98 良
2024-01-06 周六,10°,-2°,多云~晴,东北风2级,155 中度
2024-01-07 周日,8°,-2°,阴~晴,东北风3级,104 轻度
2024-01-08 周一,12°,2°,多云~晴,西南风2级,120 轻度
2024-01-09 周二,14°,-2°,多云~晴,西北风2级,155 中度
2024-01-10 周三,8°,1°,多云,东风1级,203 重度
2024-01-11 周四,16°,5°,多云~晴,西南风3级,133 轻度
2024-01-12 周五,19°,4°,多云,西南风1级,125 轻度
2024-01-13 周六,21°,8°,多云,南风2级,110 轻度
2024-01-14 周日,9°,0°,多云~晴,东北风4级,215 重度
2024-01-15 周一,5°,2°,阴~雨夹雪,东北风3级,69 良
2024-01-16 周二,2°,1°,大雪~小雨,东北风2级,66 良
2024-01-17 周三,4°,3°,雾~小雨,东北风1级,67 良
2024-01-18 周四,2°,0°,小雨~雨夹雪,东北风3级,76 良
2024-01-19 周五,1°,-2°,雨夹雪~小雪,东北风3级,55 良
2024-01-20 周六,5°,-2°,晴,北风3级,71 良
2024-01-21 周日,1°,-4°,阴,东北风4级,78 良
2024-01-22 周一,-1°,-6°,阴~多云,东北风4级,56 良
2024-01-23 周二,1°,-4°,晴,东北风2级,54 良
2024-01-24 周三,5°,-2°,晴,西北风1级,58 良
2024-01-25 周四,8°,-2°,晴,西北风1级,64 良
2024-01-26 周五,8°,0°,多云,东北风1级,69 良
2024-01-27 周六,11°,-1°,阴~晴,西北风1级,84 良
2024-01-28 周日,13°,0°,阴~晴,西南风2级,89 良
2024-01-29 周一,13°,2°,多云,东南风2级,88 良
2024-01-30 周二,15°,3°,多云~小雨,西南风1级,94 良
2024-01-31 周三,7°,0°,小雨,东北风3级,229 重度
