日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,4°,0°,浮尘~阴,东北风1级,310 严重
2024-03-02 周六,4°,0°,多云~阴,东南风1级,338 严重
2024-03-03 周日,2°,-2°,多云,西风1级,196 中度
2024-03-04 周一,8°,-1°,多云~晴,东风1级,152 中度
2024-03-05 周二,10°,1°,多云~晴,东风2级,173 中度
2024-03-06 周三,10°,2°,多云,东北风1级,161 中度
2024-03-07 周四,12°,0°,阴~晴,东北风1级,142 轻度
2024-03-08 周五,15°,1°,浮尘~多云,东南风1级,131 轻度
2024-03-09 周六,15°,2°,多云,东风1级,88 良
2024-03-10 周日,16°,3°,阴~晴,东风1级,129 轻度
2024-03-11 周一,18°,5°,阴~多云,南风1级,109 轻度
2024-03-12 周二,18°,8°,浮尘~阴,东南风1级,107 轻度
2024-03-13 周三,15°,4°,阴~多云,东风1级,139 轻度
2024-03-14 周四,16°,6°,阴~晴,西南风2级,47 优
2024-03-15 周五,15°,0°,浮尘~晴,西北风4级,61 良
2024-03-16 周六,11°,1°,扬沙~晴,东风2级,258 重度
2024-03-17 周日,11°,1°,多云~晴,东风1级,404 严重
2024-03-18 周一,12°,3°,多云~晴,东南风1级,332 严重
2024-03-19 周二,16°,7°,多云~阴,东南风1级,385 严重
2024-03-20 周三,19°,9°,多云~阴,东南风1级,282 重度
2024-03-21 周四,20°,12°,多云,南风1级,211 重度
2024-03-22 周五,20°,8°,浮尘~多云,东北风1级,63 良
2024-03-23 周六,20°,11°,浮尘~晴,东北风1级,82 良
2024-03-24 周日,19°,7°,浮尘~多云,东风2级,83 良
2024-03-25 周一,22°,5°,阴~晴,西北风1级,36 优
2024-03-26 周二,20°,9°,浮尘~多云,东风2级,75 良
2024-03-27 周三,22°,10°,浮尘~多云,东南风1级,103 轻度
2024-03-28 周四,25°,10°,浮尘~晴,东风1级,92 良
2024-03-29 周五,24°,11°,浮尘~多云,东风2级,98 良
2024-03-30 周六,22°,14°,浮尘~多云,东风1级,107 轻度
2024-03-31 周日,20°,6°,阴~晴,西北风5级,113 轻度
