日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,-1°,-5°,阴~多云,东南风1级,-
2023-12-02 周六,-4°,-5°,阴~多云,东北风1级,-
2023-12-03 周日,-3°,-5°,雾~阴,南风1级,-
2023-12-04 周一,6°,-3°,多云,西北风5级,-
2023-12-05 周二,1°,-4°,多云~晴,东北风2级,-
2023-12-06 周三,0°,-4°,阴,南风1级,-
2023-12-07 周四,4°,-3°,阴~小雪,西北风7级,-
2023-12-08 周五,-4°,-6°,阴~小雪,东北风3级,-
2023-12-09 周六,-6°,-8°,小雪,东风2级,-
2023-12-10 周日,-6°,-8°,阴~多云,东南风1级,-
2023-12-11 周一,-6°,-9°,小雪,东北风2级,-
2023-12-12 周二,-4°,-16°,阴~晴,西北风4级,-
2023-12-13 周三,-11°,-23°,晴,西北风4级,-
2023-12-14 周四,-20°,-23°,阴~晴,东北风2级,-
2023-12-15 周五,-18°,-22°,阴~晴,东北风2级,-
2023-12-16 周六,-19°,-20°,晴,西南风1级,-
2023-12-17 周日,-19°,-23°,阴~晴,南风2级,-
2023-12-18 周一,-16°,-21°,多云~晴,东北风2级,-
2023-12-19 周二,-17°,-18°,多云,东北风1级,-
2023-12-20 周三,-15°,-17°,阴~小雪,东风1级,-
2023-12-21 周四,-14°,-17°,雾~晴,东北风1级,-
2023-12-22 周五,-11°,-15°,多云~晴,东北风1级,-
2023-12-23 周六,-9°,-10°,多云~晴,西风1级,-
2023-12-24 周日,-12°,-15°,多云~晴,东北风1级,-
2023-12-25 周一,-12°,-15°,多云~晴,东南风1级,-
2023-12-26 周二,-9°,-14°,多云~雾,西南风1级,-
2023-12-27 周三,-9°,-11°,多云,东北风2级,-
2023-12-28 周四,-7°,-11°,小雪~多云,西北风2级,-
2023-12-29 周五,-3°,-8°,多云~阴,东北风2级,-
2023-12-30 周六,-3°,-10°,阴~晴,西北风3级,-
2023-12-31 周日,-5°,-11°,多云,南风1级,58 良
