日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,38°,29°,多云,西南风1级,36 优
2024-09-02 周一,36°,25°,阴,东北风3级,37 优
2024-09-03 周二,31°,25°,阴~多云,东风2级,32 优
2024-09-04 周三,33°,26°,晴~多云,东南风3级,39 优
2024-09-05 周四,35°,26°,阴,东北风2级,51 良
2024-09-06 周五,30°,25°,小雨~多云,东北风3级,65 良
2024-09-07 周六,34°,25°,晴,东南风3级,41 优
2024-09-08 周日,35°,26°,雾~晴,东南风3级,45 优
2024-09-09 周一,35°,26°,阴~晴,东南风3级,41 优
2024-09-10 周二,36°,26°,阴~小雨,东风3级,35 优
2024-09-11 周三,25°,22°,中雨~大雨,北风3级,51 良
2024-09-12 周四,24°,23°,小雨~阴,西北风3级,23 优
2024-09-13 周五,28°,23°,阴,西北风2级,24 优
2024-09-14 周六,29°,24°,阴~小雨,西北风2级,39 优
2024-09-15 周日,27°,21°,雾~阴,东北风3级,52 良
2024-09-16 周一,28°,22°,多云~小雨,北风3级,41 优
2024-09-17 周二,25°,24°,阴,西南风3级,43 优
2024-09-18 周三,30°,23°,多云,东北风1级,32 优
2024-09-19 周四,31°,24°,雾~小雨,东北风3级,35 优
2024-09-20 周五,31°,22°,阴~小雨,西北风3级,19 优
2024-09-21 周六,28°,16°,阴~晴,西北风3级,33 优
2024-09-22 周日,22°,14°,晴,东北风3级,30 优
2024-09-23 周一,25°,15°,晴,东北风2级,39 优
2024-09-24 周二,27°,16°,阴~多云,东北风1级,41 优
2024-09-25 周三,29°,18°,阴~晴,东南风1级,48 优
2024-09-26 周四,28°,20°,雾~小雨,东南风2级,63 良
2024-09-27 周五,28°,21°,雾~阴,东南风2级,46 优
2024-09-28 周六,30°,20°,多云,东南风4级,49 优
2024-09-29 周日,30°,22°,雾~多云,东南风3级,47 优
2024-09-30 周一,26°,16°,多云~小雨,西北风3级,47 优
