日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,6°,1°,雾~阴,东南风2级,30 优
2024-03-02 周六,6°,1°,阴~小雨,东南风3级,23 优
2024-03-03 周日,13°,7°,多云,西南风3级,29 优
2024-03-04 周一,21°,11°,晴~多云,西南风4级,36 优
2024-03-05 周二,16°,5°,多云~阴,南风2级,51 良
2024-03-06 周三,8°,4°,阴,东南风2级,41 优
2024-03-07 周四,6°,3°,阴~小雨,东北风2级,39 优
2024-03-08 周五,11°,3°,阴~小雨,东南风2级,36 优
2024-03-09 周六,8°,4°,阴~小雨,东南风2级,35 优
2024-03-10 周日,9°,4°,阴~阵雨,东南风2级,26 优
2024-03-11 周一,22°,6°,晴~多云,南风2级,28 优
2024-03-12 周二,14°,8°,阴~阵雨,东南风3级,43 优
2024-03-13 周三,13°,6°,阴~小雨,东北风2级,52 良
2024-03-14 周四,17°,7°,阴~小雨,东南风2级,48 优
2024-03-15 周五,22°,10°,多云~小雨,东南风2级,48 优
2024-03-16 周六,20°,11°,阴~多云,东南风3级,56 良
2024-03-17 周日,17°,9°,阴,东南风2级,72 良
2024-03-18 周一,12°,5°,阴,东北风3级,42 优
2024-03-19 周二,9°,5°,阴,东北风1级,32 优
2024-03-20 周三,14°,5°,雾~阴,东南风2级,42 优
2024-03-21 周四,25°,11°,多云,东南风2级,55 良
2024-03-22 周五,27°,13°,阴~多云,西南风5级,49 优
2024-03-23 周六,28°,13°,晴~多云,西南风3级,40 优
2024-03-24 周日,29°,10°,多云,西南风5级,34 优
2024-03-25 周一,24°,10°,阴~多云,东风1级,35 优
2024-03-26 周二,25°,14°,多云,西南风4级,43 优
2024-03-27 周三,28°,8°,雾~阵雨,西南风5级,49 优
2024-03-28 周四,23°,9°,阴,东南风2级,34 优
2024-03-29 周五,24°,11°,阴,西南风4级,41 优
2024-03-30 周六,25°,11°,多云~阴,东风微风,47 优
2024-03-31 周日,27°,14°,雾~阵雨,东南风3级,54 良
