日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,6°,-8°,晴,东南风微风,85 良
2024-01-02 周二,5°,-9°,晴,北风微风,87 良
2024-01-03 周三,5°,-8°,晴,西南风1级,95 良
2024-01-04 周四,2°,-6°,晴,东北风1级,97 良
2024-01-05 周五,4°,-6°,晴,西风1级,92 良
2024-01-06 周六,5°,-10°,晴,东北风1级,96 良
2024-01-07 周日,1°,-9°,晴,西北风微风,113 轻度
2024-01-08 周一,4°,-8°,晴,东北风1级,114 轻度
2024-01-09 周二,5°,-8°,多云~晴,西风1级,89 良
2024-01-10 周三,5°,-8°,多云~晴,西南风1级,97 良
2024-01-11 周四,10°,-7°,多云~晴,西南风2级,114 轻度
2024-01-12 周五,10°,-9°,晴,西南风1级,110 轻度
2024-01-13 周六,6°,-8°,多云~晴,东北风2级,97 良
2024-01-14 周日,5°,-5°,多云,东北风1级,82 良
2024-01-15 周一,6°,-5°,阴~多云,东北风1级,93 良
2024-01-16 周二,6°,-4°,阴~晴,东南风微风,104 轻度
2024-01-17 周三,7°,-4°,多云,东北风1级,112 轻度
2024-01-18 周四,5°,-6°,阴~多云,东北风1级,103 轻度
2024-01-19 周五,2°,-6°,多云,东北风2级,101 轻度
2024-01-20 周六,1°,-8°,晴~小雪,东北风3级,106 轻度
2024-01-21 周日,-9°,-13°,阴~晴,东北风3级,50 优
2024-01-22 周一,-6°,-12°,多云,东北风2级,55 良
2024-01-23 周二,-7°,-12°,阴~多云,东北风2级,58 良
2024-01-24 周三,-4°,-10°,多云,东北风1级,69 良
2024-01-25 周四,-5°,-12°,阴~晴,东北风1级,73 良
2024-01-26 周五,-2°,-11°,多云~晴,东北风1级,75 良
2024-01-27 周六,0°,-10°,阴~晴,北风1级,85 良
2024-01-28 周日,2°,-9°,晴,东北风微风,98 良
2024-01-29 周一,3°,-8°,多云~晴,东南风微风,104 轻度
2024-01-30 周二,7°,-5°,阴~多云,东北风1级,98 良
2024-01-31 周三,1°,-6°,阴~多云,东北风1级,90 良
