日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,22°,13°,晴~多云,东北风3级,41 优
2024-11-02 周六,23°,11°,阴~晴,东北风2级,44 优
2024-11-03 周日,25°,12°,多云~晴,东北风1级,55 良
2024-11-04 周一,24°,13°,阴~多云,东北风3级,49 优
2024-11-05 周二,21°,10°,多云~晴,东北风3级,55 良
2024-11-06 周三,22°,11°,晴,东北风2级,66 良
2024-11-07 周四,22°,12°,小雨~多云,东北风2级,50 优
2024-11-08 周五,22°,13°,阴~阵雨,东北风2级,43 优
2024-11-09 周六,22°,9°,阴~多云,东北风2级,49 优
2024-11-10 周日,24°,11°,晴,东北风2级,49 优
2024-11-11 周一,26°,14°,多云,东北风1级,45 优
2024-11-12 周二,28°,17°,阴~多云,东南风1级,48 优
2024-11-13 周三,26°,17°,阴~多云,南风2级,59 良
2024-11-14 周四,28°,17°,阴~多云,西南风2级,64 良
2024-11-15 周五,25°,17°,阴~多云,东南风1级,71 良
2024-11-16 周六,26°,13°,阴~小雨,东北风1级,72 良
2024-11-17 周日,18°,9°,阴~小雨,东北风3级,38 优
2024-11-18 周一,9°,8°,小雨~阴,东北风2级,13 优
2024-11-19 周二,9°,8°,阴~小雨,东北风2级,11 优
2024-11-20 周三,10°,8°,小雨,东北风2级,15 优
2024-11-21 周四,9°,7°,小雨,东北风2级,18 优
2024-11-22 周五,12°,7°,阴,东北风2级,25 优
2024-11-23 周六,11°,9°,阴~小雨,东北风1级,42 优
2024-11-24 周日,10°,8°,小雨~中雨,东北风1级,27 优
2024-11-25 周一,11°,7°,小雨,东北风2级,14 优
2024-11-26 周二,10°,6°,小雨,东北风2级,19 优
2024-11-27 周三,14°,9°,阴,东北风2级,28 优
2024-11-28 周四,17°,3°,多云,北风2级,32 优
2024-11-29 周五,18°,6°,晴~阵雨,东北风1级,35 优
2024-11-30 周六,19°,6°,阴~多云,西南风1级,39 优
