日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,0°,-16°,晴,西南风1级,-
2023-12-02 周六,2°,-13°,阴~晴,西北风1级,-
2023-12-03 周日,3°,-11°,多云~晴,东南风1级,-
2023-12-04 周一,6°,-10°,晴,西南风1级,-
2023-12-05 周二,5°,-13°,扬沙~晴,西北风4级,-
2023-12-06 周三,5°,-9°,多云~晴,西风2级,-
2023-12-07 周四,11°,-7°,扬沙~多云,西北风1级,-
2023-12-08 周五,9°,-11°,晴,西北风3级,-
2023-12-09 周六,5°,-8°,阴,东北风1级,-
2023-12-10 周日,3°,-8°,雨夹雪~小雪,东南风2级,-
2023-12-11 周一,0°,-12°,阴~晴,西北风2级,-
2023-12-12 周二,-2°,-8°,多云~小雪,东南风3级,-
2023-12-13 周三,1°,-4°,雾~中雪,东南风3级,-
2023-12-14 周四,-4°,-18°,中雪~阴,北风3级,-
2023-12-15 周五,-11°,-23°,小雪~多云,西北风3级,-
2023-12-16 周六,-13°,-23°,多云~晴,西北风3级,-
2023-12-17 周日,-14°,-24°,阴~晴,东南风2级,-
2023-12-18 周一,-11°,-24°,多云~晴,西风1级,-
2023-12-19 周二,-14°,-26°,阴~晴,西北风3级,-
2023-12-20 周三,-14°,-28°,阴~晴,西北风3级,-
2023-12-21 周四,-15°,-25°,多云~晴,西北风2级,-
2023-12-22 周五,-15°,-23°,阴~多云,东南风1级,-
2023-12-23 周六,-13°,-22°,多云~晴,西北风2级,-
2023-12-24 周日,-9°,-21°,多云~晴,南风微风,-
2023-12-25 周一,-7°,-17°,多云,东南风1级,-
2023-12-26 周二,-4°,-20°,多云~晴,西风1级,-
2023-12-27 周三,-6°,-20°,多云~晴,东风1级,-
2023-12-28 周四,-6°,-17°,多云~晴,东风1级,-
2023-12-29 周五,-6°,-14°,多云~小雪,东南风1级,-
2023-12-30 周六,-1°,-18°,阴~多云,西北风3级,-
2023-12-31 周日,-4°,-17°,晴~多云,东南风1级,41 优
