日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,20°,9°,多云~雾,西北风1级,151 中度
2024-11-02 周六,12°,8°,雾,西南风2级,129 轻度
2024-11-03 周日,20°,4°,雾~晴,西北风3级,74 良
2024-11-04 周一,12°,1°,晴,西北风2级,16 优
2024-11-05 周二,16°,2°,晴,西北风2级,42 优
2024-11-06 周三,16°,2°,晴,东风1级,58 良
2024-11-07 周四,15°,5°,多云,东北风1级,105 轻度
2024-11-08 周五,16°,6°,多云~雾,东南风1级,149 轻度
2024-11-09 周六,16°,7°,多云~小雨,西南风2级,159 中度
2024-11-10 周日,19°,7°,多云,东北风2级,133 轻度
2024-11-11 周一,13°,5°,多云~雾,东南风1级,83 良
2024-11-12 周二,17°,9°,多云~小雨,东风1级,102 轻度
2024-11-13 周三,10°,8°,小雨,东北风1级,78 良
2024-11-14 周四,19°,7°,雾~晴,北风1级,53 良
2024-11-15 周五,14°,8°,雾~阴,东南风1级,78 良
2024-11-16 周六,14°,2°,晴,西北风3级,43 优
2024-11-17 周日,11°,-3°,晴,西北风2级,30 优
2024-11-18 周一,8°,-1°,多云,东南风2级,45 优
2024-11-19 周二,10°,0°,多云~晴,西南风1级,57 良
2024-11-20 周三,15°,3°,雾~晴,西北风2级,71 良
2024-11-21 周四,16°,0°,晴,西北风3级,29 优
2024-11-22 周五,14°,1°,晴~多云,东南风1级,32 优
2024-11-23 周六,10°,2°,晴~多云,南风2级,51 良
2024-11-24 周日,9°,3°,多云~小雨,东南风1级,90 良
2024-11-25 周一,7°,-4°,阴~多云,西北风3级,51 良
2024-11-26 周二,2°,-5°,晴,西北风3级,18 优
2024-11-27 周三,5°,-2°,晴~多云,西北风4级,19 优
2024-11-28 周四,7°,0°,阴~多云,西北风3级,21 优
2024-11-29 周五,15°,1°,晴,西北风3级,33 优
2024-11-30 周六,16°,1°,多云~晴,西北风1级,48 优
