日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,32°,27°,阴~多云,东风3级,21 优
2024-09-02 周一,33°,27°,多云,东南风2级,21 优
2024-09-03 周二,34°,27°,阴~多云,西南风2级,29 优
2024-09-04 周三,35°,28°,阴~多云,西风2级,41 优
2024-09-05 周四,36°,26°,阴~阵雨,北风3级,44 优
2024-09-06 周五,31°,25°,阴~暴雨,北风6级,38 优
2024-09-07 周六,28°,25°,暴雨~中雨,东南风7级,22 优
2024-09-08 周日,31°,26°,阴~雷阵雨,东南风4级,27 优
2024-09-09 周一,32°,26°,阴~中雨,东南风3级,26 优
2024-09-10 周二,28°,26°,大雨~雷阵雨,东南风2级,18 优
2024-09-11 周三,29°,26°,阴~雷阵雨,东南风1级,29 优
2024-09-12 周四,32°,26°,雾~多云,东南风2级,39 优
2024-09-13 周五,32°,26°,小雨~多云,东南风2级,38 优
2024-09-14 周六,32°,26°,阴~多云,南风1级,42 优
2024-09-15 周日,32°,25°,阴~雷阵雨,西北风1级,41 优
2024-09-16 周一,32°,26°,阴~雷阵雨,东北风2级,31 优
2024-09-17 周二,32°,26°,阴~多云,东北风3级,27 优
2024-09-18 周三,33°,26°,阴~多云,东北风3级,28 优
2024-09-19 周四,32°,26°,阴~多云,东北风1级,30 优
2024-09-20 周五,32°,25°,多云~雷阵雨,东风3级,30 优
2024-09-21 周六,32°,24°,阴~暴雨,东北风2级,27 优
2024-09-22 周日,29°,23°,阴~多云,东北风4级,21 优
2024-09-23 周一,27°,24°,小雨~阵雨,北风4级,29 优
2024-09-24 周二,24°,23°,阴,东北风3级,31 优
2024-09-25 周三,28°,24°,阴~多云,西北风1级,37 优
2024-09-26 周四,30°,25°,雾~多云,西南风1级,42 优
2024-09-27 周五,32°,26°,雾~多云,西南风2级,36 优
2024-09-28 周六,31°,26°,阴~多云,西南风3级,18 优
2024-09-29 周日,32°,26°,阴~多云,东南风2级,20 优
2024-09-30 周一,32°,24°,多云~阵雨,东南风2级,21 优
