日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,22°,12°,阴~多云,东北风1级,44 优
2024-05-02 周四,22°,14°,阴~多云,东风3级,37 优
2024-05-03 周五,21°,15°,阴~小雨,东南风3级,41 优
2024-05-04 周六,18°,17°,小雨~大雨,东南风2级,39 优
2024-05-05 周日,18°,15°,小雨~阴,西风3级,36 优
2024-05-06 周一,26°,16°,雾~多云,西南风3级,47 优
2024-05-07 周二,27°,15°,阴~多云,东北风2级,71 良
2024-05-08 周三,25°,13°,晴,东北风3级,46 优
2024-05-09 周四,24°,15°,阴~多云,东南风3级,41 优
2024-05-10 周五,29°,21°,多云~雷阵雨,南风3级,54 良
2024-05-11 周六,25°,16°,暴雨~阴,西北风2级,46 优
2024-05-12 周日,25°,14°,阴~晴,东北风2级,98 良
2024-05-13 周一,27°,14°,晴,西南风1级,83 良
2024-05-14 周二,28°,15°,晴,东南风2级,68 良
2024-05-15 周三,25°,13°,晴,东北风4级,60 良
2024-05-16 周四,28°,17°,晴,西南风3级,41 优
2024-05-17 周五,31°,19°,晴,西南风3级,63 良
2024-05-18 周六,33°,19°,晴~多云,东南风3级,71 良
2024-05-19 周日,29°,19°,阴~多云,东南风4级,41 优
2024-05-20 周一,28°,22°,阴,东风3级,47 优
2024-05-21 周二,27°,19°,阴,东风3级,43 优
2024-05-22 周三,27°,20°,阴~多云,东南风3级,38 优
2024-05-23 周四,30°,21°,多云,东南风3级,48 优
2024-05-24 周五,31°,22°,阴~多云,东风3级,67 良
2024-05-25 周六,29°,24°,多云,东南风3级,42 优
2024-05-26 周日,32°,20°,阴~中雨,西北风2级,46 优
2024-05-27 周一,18°,13°,中雨~阴,东北风3级,33 优
2024-05-28 周二,27°,16°,阴~多云,东北风2级,38 优
2024-05-29 周三,27°,19°,阴,东南风4级,39 优
2024-05-30 周四,21°,19°,大雨~雷阵雨,东北风1级,32 优
2024-05-31 周五,26°,19°,雾~多云,东南风1级,54 良
