日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,23°,17°,雾~小雨,东北风2级,44 优
2024-04-02 周二,26°,14°,小雨~阴,东风1级,34 优
2024-04-03 周三,26°,15°,雾~中雨,东北风2级,45 优
2024-04-04 周四,24°,15°,雾~小雨,东南风1级,46 优
2024-04-05 周五,18°,14°,小雨~阴,东风2级,27 优
2024-04-06 周六,20°,15°,阴~小雨,东北风1级,32 优
2024-04-07 周日,19°,14°,小雨~阴,东北风1级,32 优
2024-04-08 周一,21°,15°,雾~小雨,东南风1级,47 优
2024-04-09 周二,18°,15°,小雨,东风1级,38 优
2024-04-10 周三,19°,15°,小雨,东北风2级,36 优
2024-04-11 周四,24°,16°,雾~多云,东南风2级,41 优
2024-04-12 周五,28°,19°,多云~小雨,东风2级,42 优
2024-04-13 周六,27°,17°,阴~晴,东南风2级,51 良
2024-04-14 周日,31°,20°,晴,东北风1级,52 良
2024-04-15 周一,32°,19°,多云~小雨,东北风2级,65 良
2024-04-16 周二,22°,16°,小雨~多云,东北风1级,40 优
2024-04-17 周三,27°,19°,雾~阴,东北风1级,43 优
2024-04-18 周四,24°,16°,小雨~中雨,东南风1级,48 优
2024-04-19 周五,29°,17°,多云~阴,北风3级,55 良
2024-04-20 周六,26°,16°,阴,东南风1级,73 良
2024-04-21 周日,23°,16°,雾~小雨,南风2级,64 良
2024-04-22 周一,21°,15°,中雨~阴,东北风1级,41 优
2024-04-23 周二,23°,17°,雾~小雨,东风1级,45 优
2024-04-24 周三,19°,16°,阴~小雨,东北风1级,46 优
2024-04-25 周四,24°,18°,雾~阴,西南风2级,51 良
2024-04-26 周五,27°,18°,雾~阴,东南风2级,61 良
2024-04-27 周六,30°,19°,多云~晴,南风1级,58 良
2024-04-28 周日,31°,21°,晴~暴雨,东南风2级,50 优
2024-04-29 周一,21°,14°,小雨~多云,北风4级,38 优
2024-04-30 周二,21°,15°,阴~小雨,东北风3级,31 优
