日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,7°,6°,阴,西北风1级,29 优
2024-03-02 周六,10°,4°,阴~晴,北风1级,19 优
2024-03-03 周日,15°,11°,雾~小雨,东南风1级,25 优
2024-03-04 周一,22°,12°,阴~多云,东南风1级,36 优
2024-03-05 周二,21°,12°,小雨,西南风1级,53 良
2024-03-06 周三,14°,11°,阴,西北风2级,15 优
2024-03-07 周四,17°,9°,阴~晴,西北风1级,21 优
2024-03-08 周五,20°,7°,阴~晴,北风2级,36 优
2024-03-09 周六,11°,7°,阴~晴,东南风1级,60 良
2024-03-10 周日,19°,11°,阴~中雨,东南风1级,55 良
2024-03-11 周一,13°,9°,中雨~多云,西北风1级,33 优
2024-03-12 周二,22°,10°,雾~多云,北风1级,39 优
2024-03-13 周三,15°,12°,雾~阴,东南风1级,67 良
2024-03-14 周四,12°,11°,小雨,南风1级,71 良
2024-03-15 周五,18°,12°,小雨,东南风1级,37 优
2024-03-16 周六,17°,15°,中雨~阴,东北风1级,30 优
2024-03-17 周日,27°,14°,雾~小雨,西北风1级,41 优
2024-03-18 周一,15°,12°,阴~小雨,东南风1级,30 优
2024-03-19 周二,21°,9°,阴~多云,西北风2级,31 优
2024-03-20 周三,22°,9°,雾~晴,东北风1级,49 优
2024-03-21 周四,15°,12°,雾~阴,东南风1级,54 良
2024-03-22 周五,19°,16°,阴,南风1级,76 良
2024-03-23 周六,27°,18°,阴~晴,南风2级,78 良
2024-03-24 周日,31°,19°,雾~阴,西南风1级,64 良
2024-03-25 周一,31°,17°,雾~小雨,西南风2级,40 优
2024-03-26 周二,26°,15°,阴,西北风2级,24 优
2024-03-27 周三,27°,17°,阴~小雨,东南风1级,32 优
2024-03-28 周四,24°,13°,小雨~阴,西风2级,36 优
2024-03-29 周五,29°,16°,雾~小雨,西北风1级,33 优
2024-03-30 周六,28°,19°,阴~中雨,西风1级,45 优
2024-03-31 周日,25°,17°,大雨~阴,西风2级,37 优
