日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,22°,20°,大雨~阵雨,东北风2级,26 优
2024-06-02 周日,23°,21°,多云~小雨,东北风3级,33 优
2024-06-03 周一,25°,20°,阴~多云,东风2级,29 优
2024-06-04 周二,24°,20°,阴~小雨,东北风1级,36 优
2024-06-05 周三,21°,18°,小雨~多云,东南风1级,34 优
2024-06-06 周四,25°,21°,阴~多云,东北风2级,34 优
2024-06-07 周五,29°,23°,多云,东南风1级,41 优
2024-06-08 周六,30°,24°,阴,东北风1级,37 优
2024-06-09 周日,27°,23°,阴~小雨,东北风2级,34 优
2024-06-10 周一,25°,23°,中雨~雷阵雨,东北风1级,27 优
2024-06-11 周二,29°,24°,小雨~雷阵雨,西南风1级,26 优
2024-06-12 周三,29°,24°,小雨~雷阵雨,东北风1级,29 优
2024-06-13 周四,30°,25°,阴~雷阵雨,东南风2级,29 优
2024-06-14 周五,29°,25°,小雨~雷阵雨,西南风2级,24 优
2024-06-15 周六,32°,25°,雾~雷阵雨,东北风2级,24 优
2024-06-16 周日,31°,25°,雷阵雨,东风2级,21 优
2024-06-17 周一,27°,23°,小雨~中雨,东北风2级,26 优
2024-06-18 周二,26°,23°,大雨~雷阵雨,东风1级,19 优
2024-06-19 周三,27°,25°,小雨~雷阵雨,西南风3级,26 优
2024-06-20 周四,30°,27°,阴,西南风3级,33 优
2024-06-21 周五,34°,27°,阴~多云,西南风3级,37 优
2024-06-22 周六,31°,25°,雷阵雨~中雨,西南风3级,38 优
2024-06-23 周日,33°,25°,小雨~大雨,西北风1级,31 优
2024-06-24 周一,25°,21°,大暴雨~暴雨,东北风2级,25 优
2024-06-25 周二,22°,21°,暴雨~大雨,北风2级,25 优
2024-06-26 周三,23°,22°,暴雨~中雨,西北风1级,22 优
2024-06-27 周四,24°,23°,中雨~小雨,西南风2级,23 优
2024-06-28 周五,30°,27°,阴~多云,南风2级,41 优
2024-06-29 周六,32°,25°,中雨,西南风3级,28 优
2024-06-30 周日,29°,26°,中雨,西南风2级,30 优
