日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,21°,9°,阴,北风3级,39 优
2024-05-02 周四,20°,12°,阴~多云,东北风3级,36 优
2024-05-03 周五,22°,13°,阴,东南风4级,37 优
2024-05-04 周六,22°,15°,多云~中雨,东南风3级,33 优
2024-05-05 周日,20°,15°,小雨~多云,西风3级,27 优
2024-05-06 周一,26°,13°,多云,西风3级,50 优
2024-05-07 周二,26°,12°,多云~晴,东北风1级,55 良
2024-05-08 周三,22°,9°,多云,东北风3级,43 优
2024-05-09 周四,24°,13°,阴~多云,东南风3级,36 优
2024-05-10 周五,28°,18°,晴~中雨,东南风4级,44 优
2024-05-11 周六,24°,16°,中雨~阴,西南风2级,45 优
2024-05-12 周日,23°,12°,阴~多云,东北风3级,79 良
2024-05-13 周一,27°,14°,晴,东南风1级,76 良
2024-05-14 周二,27°,12°,晴,东南风3级,62 良
2024-05-15 周三,22°,10°,阴~晴,北风4级,44 优
2024-05-16 周四,27°,14°,晴,西南风3级,43 优
2024-05-17 周五,31°,17°,阴~晴,东南风3级,62 良
2024-05-18 周六,31°,17°,晴,东南风4级,47 优
2024-05-19 周日,27°,17°,阴~多云,东南风4级,30 优
2024-05-20 周一,27°,19°,阴~多云,东南风4级,27 优
2024-05-21 周二,26°,17°,阴,东南风3级,26 优
2024-05-22 周三,28°,17°,阴,东南风3级,33 优
2024-05-23 周四,29°,18°,多云~晴,东南风3级,35 优
2024-05-24 周五,30°,20°,多云,东南风3级,30 优
2024-05-25 周六,26°,21°,多云,东南风4级,27 优
2024-05-26 周日,33°,20°,阴~中雨,西南风1级,35 优
2024-05-27 周一,21°,14°,小雨~阴,东北风4级,34 优
2024-05-28 周二,27°,13°,多云~阴,东北风3级,34 优
2024-05-29 周三,27°,18°,阴~多云,东南风4级,37 优
2024-05-30 周四,24°,18°,小雨,东风2级,29 优
2024-05-31 周五,25°,17°,多云,东北风2级,40 优
