日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,29°,22°,阴,东北风3级,85 良
2024-06-02 周日,28°,18°,阴~多云,东风1级,69 良
2024-06-03 周一,32°,21°,多云~阴,东南风2级,60 良
2024-06-04 周二,25°,18°,阴~小雨,西北风2级,35 优
2024-06-05 周三,28°,17°,阴~多云,西南风2级,42 优
2024-06-06 周四,30°,19°,阴,东南风3级,56 良
2024-06-07 周五,31°,20°,多云~阴,西南风2级,56 良
2024-06-08 周六,31°,22°,阴,东北风1级,56 良
2024-06-09 周日,34°,21°,阴~多云,西南风3级,53 良
2024-06-10 周一,34°,24°,阴,西南风2级,49 优
2024-06-11 周二,35°,22°,雾~晴,西南风3级,52 良
2024-06-12 周三,39°,24°,多云~阴,西南风2级,55 良
2024-06-13 周四,34°,24°,阴~多云,西南风3级,39 优
2024-06-14 周五,39°,25°,阴~晴,西风1级,61 良
2024-06-15 周六,36°,26°,阴,东北风3级,87 良
2024-06-16 周日,32°,21°,中雨~小雨,东北风4级,56 良
2024-06-17 周一,32°,21°,阴~晴,东南风1级,52 良
2024-06-18 周二,31°,22°,阴~多云,西南风2级,55 良
2024-06-19 周三,30°,21°,阴~多云,西南风2级,48 优
2024-06-20 周四,30°,24°,雾~中雨,西南风2级,41 优
2024-06-21 周五,28°,22°,大雨~多云,西南风1级,37 优
2024-06-22 周六,34°,22°,多云~晴,西南风2级,42 优
2024-06-23 周日,35°,23°,阴,西南风3级,42 优
2024-06-24 周一,30°,20°,阴~晴,东北风3级,96 良
2024-06-25 周二,34°,20°,多云,东南风2级,91 良
2024-06-26 周三,32°,20°,雾~晴,东南风2级,51 良
2024-06-27 周四,32°,20°,雾~阴,南风3级,50 优
2024-06-28 周五,23°,20°,中雨~阴,东北风2级,28 优
2024-06-29 周六,31°,23°,多云,西南风2级,28 优
2024-06-30 周日,33°,23°,雾~多云,西南风3级,36 优
