日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,11°,1°,小雨~晴,东北风1级,50 优
2024-11-02 周六,12°,2°,阴~晴,东南风1级,57 良
2024-11-03 周日,16°,1°,阴~晴,东南风1级,60 良
2024-11-04 周一,18°,2°,多云~晴,东北风1级,64 良
2024-11-05 周二,13°,4°,阴~小雨,西南风微风,65 良
2024-11-06 周三,17°,5°,阴~小雨,东南风1级,55 良
2024-11-07 周四,4°,2°,雨夹雪~小雨,东北风1级,43 优
2024-11-08 周五,5°,0°,雨夹雪~多云,东南风2级,33 优
2024-11-09 周六,4°,0°,多云~雨夹雪,东南风2级,31 优
2024-11-10 周日,4°,0°,小雪~晴,东南风1级,39 优
2024-11-11 周一,7°,1°,阴~晴,东南风1级,56 良
2024-11-12 周二,7°,0°,阴~多云,东南风1级,55 良
2024-11-13 周三,6°,0°,小雨~多云,东南风1级,38 优
2024-11-14 周四,0°,-3°,阴~晴,东北风2级,47 优
2024-11-15 周五,3°,-3°,多云~晴,东南风1级,44 优
2024-11-16 周六,6°,-4°,阴~晴,东北风1级,49 优
2024-11-17 周日,7°,-3°,多云~晴,东北风1级,54 良
2024-11-18 周一,8°,-3°,多云~晴,东南风1级,65 良
2024-11-19 周二,10°,-2°,晴,东风1级,76 良
2024-11-20 周三,11°,-2°,多云~晴,东北风1级,78 良
2024-11-21 周四,9°,-1°,多云~晴,东南风1级,78 良
2024-11-22 周五,4°,-3°,阴~晴,东南风2级,66 良
2024-11-23 周六,1°,-4°,阴~晴,东南风1级,45 优
2024-11-24 周日,7°,-5°,阴~晴,东风2级,52 良
2024-11-25 周一,8°,-6°,多云~晴,东北风1级,56 良
2024-11-26 周二,9°,-6°,晴,东北风1级,64 良
2024-11-27 周三,9°,-8°,多云~晴,东风1级,65 良
2024-11-28 周四,10°,-10°,多云~晴,东风1级,76 良
2024-11-29 周五,10°,-8°,多云,东北风1级,68 良
2024-11-30 周六,8°,-7°,阴~多云,东南风1级,74 良
