日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,33°,27°,阴~多云,东南风2级,29 优
2024-09-02 周一,34°,27°,多云,东南风2级,47 优
2024-09-03 周二,34°,26°,阴~多云,东北风3级,31 优
2024-09-04 周三,31°,27°,阴,东北风3级,25 优
2024-09-05 周四,32°,27°,阴,东北风4级,22 优
2024-09-06 周五,33°,26°,多云~小雨,东北风3级,20 优
2024-09-07 周六,31°,26°,阴~多云,东南风2级,16 优
2024-09-08 周日,31°,26°,小雨~多云,东风3级,18 优
2024-09-09 周一,32°,26°,多云,东北风3级,20 优
2024-09-10 周二,32°,27°,多云,东南风2级,38 优
2024-09-11 周三,33°,27°,雾~多云,南风2级,44 优
2024-09-12 周四,32°,26°,雾~多云,东南风2级,46 优
2024-09-13 周五,32°,26°,多云~阴,东北风4级,20 优
2024-09-14 周六,31°,25°,阴~雷阵雨,东北风1级,22 优
2024-09-15 周日,30°,25°,阴,东北风2级,24 优
2024-09-16 周一,32°,27°,多云,东北风3级,25 优
2024-09-17 周二,33°,28°,多云~晴,东北风4级,21 优
2024-09-18 周三,33°,25°,阴,东北风4级,27 优
2024-09-19 周四,32°,26°,阴~多云,东南风1级,27 优
2024-09-20 周五,30°,25°,阴,东风3级,17 优
2024-09-21 周六,30°,25°,多云~中雨,东南风2级,20 优
2024-09-22 周日,27°,22°,阴~暴雨,东北风1级,11 优
2024-09-23 周一,24°,23°,中雨~暴雨,东风2级,15 优
2024-09-24 周二,26°,24°,中雨~雷阵雨,东南风1级,15 优
2024-09-25 周三,31°,24°,雾~阴,南风1级,26 优
2024-09-26 周四,31°,24°,雾~小雨,东风2级,34 优
2024-09-27 周五,30°,24°,阴~多云,东风2级,24 优
2024-09-28 周六,30°,24°,阴~多云,东北风4级,25 优
2024-09-29 周日,30°,25°,阴~多云,东北风3级,22 优
2024-09-30 周一,32°,26°,阴~多云,东北风4级,15 优
