日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,4°,-4°,阴~晴,西北风4级,28 优
2024-04-02 周二,8°,-1°,多云~阵雨,西风3级,37 优
2024-04-03 周三,9°,1°,阴~多云,西北风3级,59 良
2024-04-04 周四,10°,0°,阴~多云,西北风4级,41 优
2024-04-05 周五,11°,6°,阴~多云,西南风4级,57 良
2024-04-06 周六,12°,4°,阴~多云,西南风4级,67 良
2024-04-07 周日,11°,-2°,阴~阵雨,西南风3级,38 优
2024-04-08 周一,2°,-4°,阴~晴,西北风4级,32 优
2024-04-09 周二,9°,0°,晴,西北风3级,40 优
2024-04-10 周三,14°,4°,阴~晴,西南风3级,61 良
2024-04-11 周四,19°,9°,晴,西南风3级,75 良
2024-04-12 周五,19°,12°,阴~小雨,南风3级,65 良
2024-04-13 周六,22°,12°,阴~多云,西南风3级,66 良
2024-04-14 周日,28°,12°,多云~阴,西南风3级,82 良
2024-04-15 周一,25°,11°,阴~小雨,南风4级,98 良
2024-04-16 周二,15°,7°,小雨~阵雨,西南风2级,49 优
2024-04-17 周三,19°,6°,晴,西北风3级,42 优
2024-04-18 周四,15°,4°,雾~小雨,东风3级,46 优
2024-04-19 周五,13°,3°,阴~多云,西北风3级,34 优
2024-04-20 周六,16°,6°,多云~阵雨,东南风1级,79 良
2024-04-21 周日,18°,6°,多云~晴,东南风2级,61 良
2024-04-22 周一,21°,9°,阴~晴,东南风3级,104 轻度
2024-04-23 周二,19°,10°,多云~阴,南风2级,138 轻度
2024-04-24 周三,20°,8°,阴~多云,南风3级,57 良
2024-04-25 周四,21°,11°,多云,西南风4级,62 良
2024-04-26 周五,19°,7°,晴~多云,西风4级,55 良
2024-04-27 周六,14°,4°,小雨~阵雨,西北风3级,41 优
2024-04-28 周日,12°,2°,多云~晴,西北风3级,45 优
2024-04-29 周一,15°,3°,多云~小雨,东南风1级,54 良
2024-04-30 周二,17°,6°,阴~晴,西风2级,52 良
