日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,12°,-1°,阴~雨夹雪,东北风3级,62 良
2024-04-02 周二,12°,-1°,雨夹雪~小雪,东北风2级,66 良
2024-04-03 周三,8°,-1°,多云~阴,北风1级,58 良
2024-04-04 周四,13°,1°,雾~雨夹雪,东北风2级,50 优
2024-04-05 周五,8°,0°,中雪~雨夹雪,西北风2级,34 优
2024-04-06 周六,5°,0°,小雪~雨夹雪,东北风2级,27 优
2024-04-07 周日,11°,-4°,阴~多云,西北风1级,32 优
2024-04-08 周一,9°,1°,大雪~雨夹雪,东北风2级,42 优
2024-04-09 周二,5°,-2°,小雨~雨夹雪,东北风2级,25 优
2024-04-10 周三,11°,-4°,阴~多云,西北风2级,36 优
2024-04-11 周四,14°,-7°,雾~晴,西北风2级,48 优
2024-04-12 周五,19°,-2°,阴~多云,西南风2级,44 优
2024-04-13 周六,15°,-5°,阴~晴,西北风4级,48 优
2024-04-14 周日,19°,-1°,多云~晴,西北风2级,57 良
2024-04-15 周一,19°,1°,阴,东北风1级,95 良
2024-04-16 周二,18°,1°,小雨,东北风2级,71 良
2024-04-17 周三,17°,2°,雾~雨夹雪,东南风2级,42 优
2024-04-18 周四,12°,-3°,小雨~多云,西北风1级,32 优
2024-04-19 周五,12°,1°,阴~多云,东北风1级,37 优
2024-04-20 周六,11°,-1°,小雨~雨夹雪,东北风1级,37 优
2024-04-21 周日,12°,0°,阴,东风1级,33 优
2024-04-22 周一,12°,-2°,阴~多云,北风1级,40 优
2024-04-23 周二,13°,-1°,雾~小雨,东南风1级,42 优
2024-04-24 周三,13°,-1°,阴~小雨,东北风1级,35 优
2024-04-25 周四,17°,-1°,雾~晴,西北风微风,37 优
2024-04-26 周五,16°,0°,小雨,北风2级,42 优
2024-04-27 周六,18°,1°,阴~晴,南风1级,39 优
2024-04-28 周日,22°,0°,扬沙~小雨,南风2级,90 良
2024-04-29 周一,0°,-3°,大雪~多云,东北风2级,34 优
2024-04-30 周二,11°,-2°,多云,东北风1级,29 优
