日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,37°,29°,雾~多云,西南风2级,49 优
2024-09-02 周一,33°,24°,阴,东北风3级,44 优
2024-09-03 周二,32°,24°,阴~多云,东北风2级,35 优
2024-09-04 周三,34°,26°,阴~晴,东南风3级,51 良
2024-09-05 周四,35°,26°,雾~阴,东北风2级,52 良
2024-09-06 周五,32°,24°,雾~多云,东北风3级,48 优
2024-09-07 周六,34°,25°,多云,东风3级,48 优
2024-09-08 周日,35°,25°,雾~晴,东风3级,51 良
2024-09-09 周一,35°,25°,晴,东南风3级,38 优
2024-09-10 周二,35°,24°,阴~中雨,东风3级,36 优
2024-09-11 周三,26°,23°,中雨,北风4级,27 优
2024-09-12 周四,28°,23°,阴,西南风1级,17 优
2024-09-13 周五,29°,23°,雾~阴,西北风2级,24 优
2024-09-14 周六,31°,24°,雾~小雨,北风2级,39 优
2024-09-15 周日,27°,21°,雾~多云,东北风4级,35 优
2024-09-16 周一,28°,22°,雾~中雨,北风4级,34 优
2024-09-17 周二,25°,24°,阴~小雨,西南风3级,22 优
2024-09-18 周三,31°,24°,雾~多云,东南风3级,35 优
2024-09-19 周四,32°,25°,阴~小雨,东北风3级,30 优
2024-09-20 周五,32°,22°,阴,西北风3级,25 优
2024-09-21 周六,28°,15°,阴~晴,北风4级,32 优
2024-09-22 周日,22°,14°,晴,东北风4级,33 优
2024-09-23 周一,25°,14°,晴,东北风3级,37 优
2024-09-24 周二,27°,14°,阴~晴,东北风1级,42 优
2024-09-25 周三,28°,18°,多云,东风1级,61 良
2024-09-26 周四,28°,19°,阴,东风3级,54 良
2024-09-27 周五,28°,19°,阴~多云,东风3级,34 优
2024-09-28 周六,30°,18°,多云,东南风4级,54 良
2024-09-29 周日,30°,20°,雾~多云,东南风4级,51 良
2024-09-30 周一,30°,15°,雾~小雨,北风1级,53 良
