日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,13°,10°,雾~多云,西北风1级,27 优
2024-06-02 周日,19°,10°,多云~晴,北风1级,34 优
2024-06-03 周一,25°,13°,雾~晴,西北风1级,32 优
2024-06-04 周二,21°,15°,多云~晴,西北风2级,44 优
2024-06-05 周三,27°,19°,阴~多云,西南风3级,53 良
2024-06-06 周四,26°,17°,阴~多云,西南风3级,41 优
2024-06-07 周五,22°,17°,阴~小雨,西南风4级,40 优
2024-06-08 周六,22°,14°,小雨,西南风3级,30 优
2024-06-09 周日,23°,13°,多云~晴,西风2级,32 优
2024-06-10 周一,27°,20°,晴~多云,西南风2级,33 优
2024-06-11 周二,29°,18°,阴~中雨,西南风3级,43 优
2024-06-12 周三,25°,17°,阴~多云,西北风2级,40 优
2024-06-13 周四,26°,18°,小雨~中雨,西南风2级,34 优
2024-06-14 周五,24°,16°,中雨~小雨,西南风3级,34 优
2024-06-15 周六,20°,13°,阴~晴,西北风3级,24 优
2024-06-16 周日,26°,18°,晴~多云,西风3级,27 优
2024-06-17 周一,26°,14°,多云~晴,西北风3级,31 优
2024-06-18 周二,28°,18°,晴,北风1级,35 优
2024-06-19 周三,32°,20°,多云,西南风4级,73 良
2024-06-20 周四,29°,17°,阴~多云,西南风2级,55 良
2024-06-21 周五,31°,20°,多云~小雨,西南风1级,58 良
2024-06-22 周六,29°,17°,中雨~小雨,西南风3级,58 良
2024-06-23 周日,18°,15°,中雨~小雨,西北风2级,39 优
2024-06-24 周一,18°,14°,小雨~多云,西北风2级,13 优
2024-06-25 周二,24°,16°,阴~晴,西南风2级,20 优
2024-06-26 周三,28°,19°,多云~晴,西南风2级,35 优
2024-06-27 周四,30°,21°,多云~晴,西南风3级,62 良
2024-06-28 周五,31°,22°,多云,西南风3级,61 良
2024-06-29 周六,29°,20°,阴,西南风3级,48 优
2024-06-30 周日,29°,16°,阴~多云,北风3级,49 优
