日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,33°,23°,阴~多云,西南风2级,48 优
2024-06-02 周日,36°,24°,多云~晴,东南风1级,51 良
2024-06-03 周一,39°,23°,多云,西南风2级,56 良
2024-06-04 周二,31°,20°,阴~多云,西南风1级,56 良
2024-06-05 周三,33°,22°,阴~多云,东南风2级,50 优
2024-06-06 周四,35°,24°,多云~晴,东南风2级,42 优
2024-06-07 周五,38°,27°,阴~多云,西南风1级,43 优
2024-06-08 周六,40°,26°,阴~多云,东南风1级,50 优
2024-06-09 周日,41°,28°,多云~晴,西南风2级,50 优
2024-06-10 周一,41°,29°,多云~晴,南风1级,46 优
2024-06-11 周二,42°,28°,阴,西南风2级,47 优
2024-06-12 周三,40°,28°,阴~多云,东南风1级,57 良
2024-06-13 周四,39°,30°,阴,东南风1级,47 优
2024-06-14 周五,39°,29°,阴~多云,西南风2级,52 良
2024-06-15 周六,37°,28°,阴~晴,南风1级,47 优
2024-06-16 周日,37°,27°,多云~晴,东南风1级,43 优
2024-06-17 周一,39°,27°,多云~晴,西风2级,51 良
2024-06-18 周二,40°,26°,阴~多云,西南风2级,62 良
2024-06-19 周三,39°,26°,阴~多云,西南风1级,41 优
2024-06-20 周四,38°,26°,晴,南风1级,71 良
2024-06-21 周五,39°,27°,晴,东南风2级,60 良
2024-06-22 周六,42°,29°,晴,东南风2级,50 优
2024-06-23 周日,45°,30°,晴,东南风2级,49 优
2024-06-24 周一,45°,31°,多云~晴,东南风2级,51 良
2024-06-25 周二,47°,33°,多云~阴,南风1级,52 良
2024-06-26 周三,45°,32°,阴~晴,西风2级,117 轻度
2024-06-27 周四,45°,32°,浮尘~多云,东南风2级,123 轻度
2024-06-28 周五,44°,31°,阴~晴,东北风2级,65 良
2024-06-29 周六,45°,31°,阴~晴,南风2级,51 良
2024-06-30 周日,43°,32°,阴~多云,东南风2级,60 良
