日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,21°,10°,晴~多云,东北风1级,59 良
2024-05-02 周四,21°,13°,多云~小雨,东南风4级,44 优
2024-05-03 周五,15°,8°,阴~小雨,东南风2级,32 优
2024-05-04 周六,19°,10°,雾~晴,东北风3级,39 优
2024-05-05 周日,26°,11°,多云~晴,东南风1级,47 优
2024-05-06 周一,24°,11°,晴,东北风3级,69 良
2024-05-07 周二,28°,12°,晴,东南风3级,48 优
2024-05-08 周三,30°,14°,多云,南风4级,60 良
2024-05-09 周四,30°,15°,晴~多云,南风2级,39 优
2024-05-10 周五,22°,5°,多云,西北风4级,148 轻度
2024-05-11 周六,26°,11°,晴,西风2级,94 良
2024-05-12 周日,24°,14°,晴,东北风2级,50 优
2024-05-13 周一,31°,15°,晴,东南风3级,53 良
2024-05-14 周二,31°,14°,多云~晴,东北风3级,162 中度
2024-05-15 周三,27°,16°,多云,东南风3级,92 良
2024-05-16 周四,32°,17°,阴~晴,北风1级,81 良
2024-05-17 周五,34°,21°,多云,东南风2级,96 良
2024-05-18 周六,32°,19°,阴~多云,西南风3级,71 良
2024-05-19 周日,30°,19°,多云,东北风4级,185 中度
2024-05-20 周一,33°,20°,多云~晴,北风1级,102 轻度
2024-05-21 周二,33°,20°,晴,东南风3级,65 良
2024-05-22 周三,34°,19°,晴,东南风4级,54 良
2024-05-23 周四,35°,22°,多云,南风2级,68 良
2024-05-24 周五,29°,18°,阴~雷阵雨,东北风5级,99 良
2024-05-25 周六,28°,18°,雾~多云,北风1级,72 良
2024-05-26 周日,26°,18°,阴~多云,东北风4级,54 良
2024-05-27 周一,29°,18°,晴~多云,东南风3级,51 良
2024-05-28 周二,26°,15°,阴~小雨,南风4级,52 良
2024-05-29 周三,22°,13°,阴~晴,西北风3级,80 良
2024-05-30 周四,28°,16°,晴,西北风4级,53 良
2024-05-31 周五,27°,15°,阴~多云,东风3级,47 优
