日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,21°,12°,多云~晴,北风4级,112 轻度
2024-11-02 周六,23°,13°,多云~晴,西南风微风,105 轻度
2024-11-03 周日,24°,13°,多云~阴,西南风2级,115 轻度
2024-11-04 周一,19°,6°,阴~晴,东北风4级,78 良
2024-11-05 周二,17°,8°,晴,东北风2级,57 良
2024-11-06 周三,19°,9°,晴,东南风3级,88 良
2024-11-07 周四,20°,11°,晴~多云,东南风3级,68 良
2024-11-08 周五,20°,12°,多云~阴,东南风3级,64 良
2024-11-09 周六,14°,11°,小雨~阴,东南风2级,68 良
2024-11-10 周日,19°,14°,多云~阴,东南风2级,74 良
2024-11-11 周一,22°,12°,多云~晴,东风2级,109 轻度
2024-11-12 周二,21°,16°,多云~小雨,东南风2级,126 轻度
2024-11-13 周三,20°,15°,多云~小雨,东风3级,92 良
2024-11-14 周四,18°,15°,多云,东北风2级,97 良
2024-11-15 周五,17°,16°,多云~阴,东北风2级,115 轻度
2024-11-16 周六,16°,11°,小雨,北风3级,82 良
2024-11-17 周日,13°,9°,阴,东北风2级,39 优
2024-11-18 周一,11°,8°,小雨~阴,东风3级,43 优
2024-11-19 周二,10°,6°,阴,东北风1级,32 优
2024-11-20 周三,15°,6°,晴~多云,西风2级,62 良
2024-11-21 周四,17°,5°,雾~多云,西南风1级,76 良
2024-11-22 周五,16°,6°,雾~多云,东风2级,105 轻度
2024-11-23 周六,15°,8°,多云~阴,东南风3级,70 良
2024-11-24 周日,11°,8°,阴~小雨,东北风2级,53 良
2024-11-25 周一,11°,1°,阴~晴,西北风4级,54 良
2024-11-26 周二,11°,3°,多云~晴,西北风3级,50 优
2024-11-27 周三,12°,5°,晴,西北风4级,66 良
2024-11-28 周四,13°,5°,晴,西北风5级,58 良
2024-11-29 周五,17°,4°,晴~多云,西风3级,47 优
2024-11-30 周六,19°,6°,多云~晴,西南风2级,64 良
