日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,-1°,-13°,晴,西风3级,47 优
2024-03-02 周六,3°,-9°,晴,西风2级,82 良
2024-03-03 周日,5°,-7°,晴~多云,东北风1级,50 优
2024-03-04 周一,4°,-2°,阴~小雪,北风1级,60 良
2024-03-05 周二,0°,-7°,阴~多云,北风3级,32 优
2024-03-06 周三,0°,-7°,阴~多云,西南风1级,30 优
2024-03-07 周四,-1°,-10°,阴~晴,西北风4级,33 优
2024-03-08 周五,3°,-7°,晴,西南风1级,36 优
2024-03-09 周六,8°,-5°,晴,西南风1级,58 良
2024-03-10 周日,9°,-6°,阴~晴,西南风2级,71 良
2024-03-11 周一,5°,-5°,多云~晴,北风3级,34 优
2024-03-12 周二,5°,-4°,多云~晴,西南风2级,36 优
2024-03-13 周三,11°,-3°,晴,西南风1级,48 优
2024-03-14 周四,14°,-1°,晴,西南风2级,60 良
2024-03-15 周五,16°,1°,阴~小雨,西南风3级,71 良
2024-03-16 周六,8°,-5°,多云~晴,西北风4级,127 轻度
2024-03-17 周日,8°,-3°,多云~晴,西南风2级,44 优
2024-03-18 周一,7°,-5°,多云~晴,西北风5级,110 轻度
2024-03-19 周二,7°,-5°,晴,西北风3级,42 优
2024-03-20 周三,12°,-3°,晴,西南风2级,43 优
2024-03-21 周四,14°,0°,阴~晴,西南风2级,84 良
2024-03-22 周五,14°,3°,多云~阴,西南风1级,60 良
2024-03-23 周六,16°,5°,阴,北风2级,59 良
2024-03-24 周日,6°,0°,小雨~多云,南风2级,49 优
2024-03-25 周一,12°,3°,阴~晴,西南风2级,53 良
2024-03-26 周二,19°,5°,多云,西南风4级,69 良
2024-03-27 周三,14°,-3°,扬沙~晴,西北风5级,198 中度
2024-03-28 周四,12°,0°,扬沙~晴,西风4级,286 重度
2024-03-29 周五,14°,1°,阴~晴,西风2级,77 良
2024-03-30 周六,15°,3°,多云~晴,西南风3级,45 优
2024-03-31 周日,20°,7°,多云,西南风1级,45 优
