日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,-1°,-4°,多云~小雪,东北风1级,107 轻度
2024-02-02 周五,1°,-7°,多云~晴,西北风1级,74 良
2024-02-03 周六,-4°,-6°,多云,东北风1级,54 良
2024-02-04 周日,-1°,-6°,多云,西风1级,70 良
2024-02-05 周一,-2°,-3°,阴~多云,东北风1级,69 良
2024-02-06 周二,-1°,-7°,多云~晴,西风1级,55 良
2024-02-07 周三,0°,-7°,阴~晴,西南风1级,55 良
2024-02-08 周四,4°,-5°,多云~晴,东风1级,68 良
2024-02-09 周五,5°,-6°,多云~晴,西北风1级,66 良
2024-02-10 周六,7°,-4°,多云~晴,东南风1级,66 良
2024-02-11 周日,9°,-1°,多云~晴,南风微风,70 良
2024-02-12 周一,12°,3°,多云,西北风1级,75 良
2024-02-13 周二,15°,-2°,阴~晴,西风2级,86 良
2024-02-14 周三,7°,-3°,扬沙~晴,西北风2级,317 严重
2024-02-15 周四,9°,-2°,浮尘~多云,东风1级,500 严重
2024-02-16 周五,19°,4°,多云,东南风1级,333 严重
2024-02-17 周六,16°,0°,浮尘~雨夹雪,西风1级,280 重度
2024-02-18 周日,0°,-7°,多云,北风2级,500 严重
2024-02-19 周一,-4°,-5°,多云~小雪,东北风1级,500 严重
2024-02-20 周二,-2°,-4°,多云~小雪,东北风2级,465 严重
2024-02-21 周三,0°,-4°,多云~晴,东北风1级,496 严重
2024-02-22 周四,-1°,-8°,小雪~晴,东北风2级,499 严重
2024-02-23 周五,0°,-3°,多云~晴,东北风2级,491 严重
2024-02-24 周六,0°,-4°,多云,东北风1级,440 严重
2024-02-25 周日,4°,-5°,多云~晴,东风2级,377 严重
2024-02-26 周一,5°,-4°,多云,东北风1级,402 严重
2024-02-27 周二,5°,-3°,多云~晴,西北风1级,314 严重
2024-02-28 周三,7°,-2°,多云~晴,东北风1级,285 重度
2024-02-29 周四,8°,-3°,多云~晴,东北风3级,429 严重
