日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,39°,26°,晴,西风1级,42 优
2024-09-02 周一,39°,27°,阴~小雨,东北风2级,49 优
2024-09-03 周二,37°,26°,阴~晴,东北风3级,44 优
2024-09-04 周三,38°,28°,阴~晴,东北风2级,42 优
2024-09-05 周四,37°,27°,阴~晴,东北风3级,47 优
2024-09-06 周五,36°,25°,雾~晴,东北风3级,59 良
2024-09-07 周六,36°,25°,阴~多云,东北风3级,46 优
2024-09-08 周日,37°,26°,多云~晴,东风2级,42 优
2024-09-09 周一,38°,26°,多云~晴,东北风2级,44 优
2024-09-10 周二,37°,24°,阴~阵雨,东北风2级,41 优
2024-09-11 周三,32°,23°,小雨~阴,东北风3级,43 优
2024-09-12 周四,23°,22°,中雨~多云,西北风2级,43 优
2024-09-13 周五,28°,23°,雾~多云,西北风2级,36 优
2024-09-14 周六,32°,24°,雾~多云,东北风2级,43 优
2024-09-15 周日,32°,24°,雾~多云,东北风3级,40 优
2024-09-16 周一,32°,22°,多云~晴,东北风2级,33 优
2024-09-17 周二,31°,23°,阴~多云,西北风2级,50 优
2024-09-18 周三,33°,24°,阴~晴,东北风2级,46 优
2024-09-19 周四,33°,25°,阴~晴,北风2级,39 优
2024-09-20 周五,33°,21°,阴~小雨,北风2级,43 优
2024-09-21 周六,24°,17°,阴~多云,北风4级,39 优
2024-09-22 周日,25°,14°,晴,东北风3级,34 优
2024-09-23 周一,27°,16°,晴,东北风2级,42 优
2024-09-24 周二,29°,17°,晴,东北风1级,52 良
2024-09-25 周三,32°,20°,多云~阴,东北风1级,50 优
2024-09-26 周四,31°,20°,阴~晴,东北风1级,58 良
2024-09-27 周五,33°,21°,晴~多云,东北风1级,55 良
2024-09-28 周六,34°,21°,多云~晴,东风2级,33 优
2024-09-29 周日,36°,22°,晴~多云,东风2级,37 优
2024-09-30 周一,31°,16°,阴~小雨,北风4级,47 优
