日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,6°,-7°,多云~晴,西南风1级,-
2023-12-02 周六,5°,-8°,阴~晴,东南风1级,-
2023-12-03 周日,4°,-8°,多云~晴,西风1级,-
2023-12-04 周一,5°,-10°,多云,东南风1级,-
2023-12-05 周二,5°,-7°,多云~晴,西风1级,-
2023-12-06 周三,7°,-6°,多云~阴,西风2级,-
2023-12-07 周四,5°,-7°,阴~晴,东南风1级,-
2023-12-08 周五,3°,-8°,阴~晴,东南风1级,-
2023-12-09 周六,1°,-8°,阴~多云,西风2级,-
2023-12-10 周日,0°,-9°,阴~晴,西北风2级,-
2023-12-11 周一,4°,-9°,阴,东风2级,-
2023-12-12 周二,0°,-10°,阴~晴,西南风1级,-
2023-12-13 周三,-2°,-14°,阴~小雪,北风3级,-
2023-12-14 周四,-10°,-16°,小雪~晴,西北风1级,-
2023-12-15 周五,-9°,-20°,晴,东风2级,-
2023-12-16 周六,-8°,-14°,晴,西北风微风,-
2023-12-17 周日,-9°,-16°,多云~晴,西南风1级,-
2023-12-18 周一,-8°,-20°,晴,东南风3级,-
2023-12-19 周二,-8°,-19°,阴~晴,东北风1级,-
2023-12-20 周三,-9°,-18°,阴~晴,东风1级,-
2023-12-21 周四,-7°,-16°,阴~晴,西南风1级,-
2023-12-22 周五,-7°,-14°,晴,东风2级,-
2023-12-23 周六,-5°,-14°,多云~晴,西北风1级,-
2023-12-24 周日,-4°,-17°,晴,东风1级,-
2023-12-25 周一,-4°,-11°,晴,东风1级,-
2023-12-26 周二,-4°,-14°,多云~晴,北风1级,-
2023-12-27 周三,-3°,-14°,多云~晴,东南风微风,-
2023-12-28 周四,-3°,-14°,多云~晴,东南风1级,-
2023-12-29 周五,-1°,-13°,多云,东风2级,-
2023-12-30 周六,-4°,-12°,多云~晴,东北风微风,-
2023-12-31 周日,0°,-12°,晴,西北风2级,94 良
