日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,-8°,-17°,小雪~晴,西南风2级,-
2023-12-02 周六,-5°,-17°,小雪~晴,西南风2级,-
2023-12-03 周日,-4°,-13°,小雪~晴,南风4级,-
2023-12-04 周一,0°,-14°,小雪~多云,西南风3级,-
2023-12-05 周二,3°,-8°,小雪~多云,南风4级,-
2023-12-06 周三,-2°,-18°,小雪~多云,西南风3级,-
2023-12-07 周四,-8°,-15°,小雪~多云,西南风2级,-
2023-12-08 周五,2°,-15°,多云,西南风3级,-
2023-12-09 周六,-12°,-21°,阴~晴,西风3级,-
2023-12-10 周日,-15°,-25°,阴~晴,西风3级,-
2023-12-11 周一,-17°,-25°,多云~晴,北风1级,-
2023-12-12 周二,-16°,-26°,小雪~晴,西北风1级,-
2023-12-13 周三,-14°,-25°,阴~晴,东北风1级,-
2023-12-14 周四,-17°,-23°,多云,东北风2级,-
2023-12-15 周五,-17°,-20°,阴~多云,北风3级,-
2023-12-16 周六,-18°,-25°,小雪~多云,西北风3级,-
2023-12-17 周日,-19°,-27°,阴~晴,西南风3级,-
2023-12-18 周一,-18°,-27°,阴~晴,西南风1级,-
2023-12-19 周二,-20°,-29°,多云,北风2级,-
2023-12-20 周三,-21°,-29°,阴~多云,西南风2级,-
2023-12-21 周四,-19°,-29°,多云~晴,西南风2级,-
2023-12-22 周五,-15°,-23°,阴~晴,西南风3级,-
2023-12-23 周六,-10°,-20°,阴~晴,西南风2级,-
2023-12-24 周日,-12°,-22°,阴~晴,西南风3级,-
2023-12-25 周一,-10°,-16°,多云~小雪,南风3级,-
2023-12-26 周二,-16°,-19°,阴~晴,西北风2级,-
2023-12-27 周三,-8°,-16°,多云~晴,西南风3级,-
2023-12-28 周四,-6°,-15°,小雪~晴,西南风2级,-
2023-12-29 周五,-5°,-14°,小雪~多云,西南风2级,-
2023-12-30 周六,-10°,-17°,小雪,东北风3级,-
2023-12-31 周日,-16°,-23°,晴~多云,北风2级,31 优
