日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,25°,12°,阴~晴,西风3级,51 良
2024-05-02 周四,26°,12°,晴,西南风3级,57 良
2024-05-03 周五,26°,13°,晴~多云,西南风3级,66 良
2024-05-04 周六,21°,13°,阴,东南风3级,63 良
2024-05-05 周日,18°,14°,多云~阴,南风2级,77 良
2024-05-06 周一,25°,14°,多云,东北风3级,72 良
2024-05-07 周二,26°,11°,多云~晴,东北风3级,74 良
2024-05-08 周三,28°,15°,晴,西南风3级,82 良
2024-05-09 周四,26°,18°,多云,东南风3级,77 良
2024-05-10 周五,27°,14°,多云~雷阵雨,西南风4级,102 轻度
2024-05-11 周六,24°,12°,阴~晴,西北风4级,221 重度
2024-05-12 周日,25°,13°,晴,西北风3级,46 优
2024-05-13 周一,30°,17°,晴,西南风3级,75 良
2024-05-14 周二,31°,13°,多云,东北风3级,82 良
2024-05-15 周三,24°,14°,晴~多云,西北风3级,42 优
2024-05-16 周四,27°,16°,阴~多云,西南风3级,61 良
2024-05-17 周五,30°,16°,晴,东南风3级,84 良
2024-05-18 周六,28°,17°,多云~阴,东南风4级,76 良
2024-05-19 周日,18°,12°,中雨~阴,东北风4级,49 优
2024-05-20 周一,23°,12°,多云~晴,南风2级,38 优
2024-05-21 周二,26°,15°,阴~晴,南风2级,55 良
2024-05-22 周三,29°,20°,多云,西南风3级,89 良
2024-05-23 周四,30°,14°,多云~雷阵雨,东北风4级,68 良
2024-05-24 周五,19°,14°,阴~阵雨,东北风3级,34 优
2024-05-25 周六,16°,14°,大雨~中雨,东风2级,40 优
2024-05-26 周日,26°,14°,多云~晴,西北风4级,39 优
2024-05-27 周一,27°,14°,晴,西北风1级,39 优
2024-05-28 周二,29°,20°,晴~阴,西南风2级,58 良
2024-05-29 周三,31°,21°,阴~多云,西南风4级,69 良
2024-05-30 周四,29°,19°,阴,西南风3级,62 良
2024-05-31 周五,27°,15°,阴~晴,东北风3级,38 优
