日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,6°,-3°,多云,南风2级,200 中度
2024-01-02 周二,9°,-3°,晴,西南风2级,210 重度
2024-01-03 周三,10°,-2°,晴,西风1级,208 重度
2024-01-04 周四,12°,-1°,晴,西南风4级,91 良
2024-01-05 周五,11°,-2°,多云,东北风2级,150 轻度
2024-01-06 周六,7°,-6°,晴,东北风3级,166 中度
2024-01-07 周日,3°,-6°,晴,东风2级,48 优
2024-01-08 周一,6°,-2°,阴~多云,南风3级,71 良
2024-01-09 周二,6°,-7°,多云~晴,西北风3级,158 中度
2024-01-10 周三,6°,-2°,多云~晴,西南风2级,145 轻度
2024-01-11 周四,13°,-2°,多云~晴,西南风3级,202 重度
2024-01-12 周五,12°,0°,多云~晴,东北风2级,242 重度
2024-01-13 周六,14°,0°,多云,东南风2级,272 重度
2024-01-14 周日,7°,-7°,多云,东北风4级,200 中度
2024-01-15 周一,4°,-2°,多云~雨夹雪,东南风2级,51 良
2024-01-16 周二,2°,0°,阴~雨夹雪,东风2级,66 良
2024-01-17 周三,3°,0°,雾~阴,西北风2级,75 良
2024-01-18 周四,2°,-2°,雾~雨夹雪,东北风3级,101 轻度
2024-01-19 周五,1°,-4°,阴~多云,东北风3级,75 良
2024-01-20 周六,3°,-5°,多云~晴,北风3级,55 良
2024-01-21 周日,1°,-9°,多云,北风4级,60 良
2024-01-22 周一,-2°,-8°,晴,北风3级,30 优
2024-01-23 周二,1°,-8°,晴,西风2级,54 良
2024-01-24 周三,5°,-7°,晴,西风2级,94 良
2024-01-25 周四,6°,-5°,晴,西风2级,114 轻度
2024-01-26 周五,8°,-4°,晴~多云,西南风1级,111 轻度
2024-01-27 周六,7°,-6°,阴~晴,西北风2级,118 轻度
2024-01-28 周日,10°,-3°,雾~晴,西南风2级,135 轻度
2024-01-29 周一,10°,0°,阴,东南风3级,132 轻度
2024-01-30 周二,9°,0°,多云~晴,东南风2级,217 重度
2024-01-31 周三,4°,-3°,雾~雨夹雪,东北风3级,207 重度
