日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,17°,3°,多云,东南风1级,121 轻度
2024-11-02 周六,19°,4°,阴~多云,西南风1级,138 轻度
2024-11-03 周日,16°,3°,晴,东北风2级,134 轻度
2024-11-04 周一,16°,3°,阴~晴,东风1级,118 轻度
2024-11-05 周二,17°,6°,阴~小雨,东风1级,121 轻度
2024-11-06 周三,19°,4°,阴~多云,西南风1级,121 轻度
2024-11-07 周四,17°,3°,阴~晴,东北风1级,134 轻度
2024-11-08 周五,19°,2°,阴~晴,北风1级,112 轻度
2024-11-09 周六,15°,3°,阴~晴,东北风2级,96 良
2024-11-10 周日,17°,3°,阴~多云,西北风2级,93 良
2024-11-11 周一,12°,1°,阴~晴,东南风1级,98 良
2024-11-12 周二,15°,2°,多云,西北风1级,107 轻度
2024-11-13 周三,14°,1°,阴~多云,东北风1级,110 轻度
2024-11-14 周四,15°,2°,阴~多云,西北风2级,104 轻度
2024-11-15 周五,10°,2°,阴~小雨,东北风2级,81 良
2024-11-16 周六,6°,2°,雨夹雪~小雨,东北风1级,41 优
2024-11-17 周日,9°,-1°,多云~晴,西北风微风,58 良
2024-11-18 周一,10°,0°,阴~晴,东南风1级,95 良
2024-11-19 周二,10°,-1°,晴,东南风1级,100 良
2024-11-20 周三,9°,-1°,阴~雨夹雪,东风1级,86 良
2024-11-21 周四,10°,0°,阴~多云,东南风1级,91 良
2024-11-22 周五,11°,-2°,阴~晴,东风1级,85 良
2024-11-23 周六,10°,-3°,晴,北风1级,89 良
2024-11-24 周日,9°,0°,晴,东北风1级,92 良
2024-11-25 周一,8°,-2°,阴~晴,西北风1级,65 良
2024-11-26 周二,5°,-1°,多云~晴,东北风2级,98 良
2024-11-27 周三,4°,-1°,晴,东风1级,143 轻度
2024-11-28 周四,5°,-4°,多云~晴,东南风1级,87 良
2024-11-29 周五,4°,-3°,阴~多云,东南风1级,102 轻度
2024-11-30 周六,5°,-3°,多云~晴,东南风1级,103 轻度
