日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,19°,16°,大雨~小雨,北风5级,31 优
2024-11-02 周六,21°,13°,小雨~多云,西北风3级,50 优
2024-11-03 周日,23°,14°,多云,西北风1级,72 良
2024-11-04 周一,22°,14°,多云,北风3级,83 良
2024-11-05 周二,19°,10°,阴~晴,北风3级,37 优
2024-11-06 周三,18°,10°,晴,东北风3级,31 优
2024-11-07 周四,18°,11°,多云~晴,东北风3级,30 优
2024-11-08 周五,20°,16°,阴~多云,东北风2级,31 优
2024-11-09 周六,23°,16°,阴~小雨,东北风3级,36 优
2024-11-10 周日,19°,13°,雾~晴,北风2级,40 优
2024-11-11 周一,21°,13°,多云~晴,东北风2级,50 优
2024-11-12 周二,21°,14°,雾~晴,东风2级,43 优
2024-11-13 周三,22°,17°,多云~晴,东南风4级,49 优
2024-11-14 周四,23°,19°,小雨,东南风3级,38 优
2024-11-15 周五,22°,18°,小雨,东风2级,43 优
2024-11-16 周六,21°,17°,雾~小雨,北风3级,42 优
2024-11-17 周日,16°,11°,小雨~多云,东北风4级,25 优
2024-11-18 周一,15°,10°,阴~多云,东北风3级,28 优
2024-11-19 周二,15°,10°,阴~多云,东北风2级,29 优
2024-11-20 周三,14°,9°,阴~晴,北风2级,32 优
2024-11-21 周四,15°,8°,多云,西北风2级,50 优
2024-11-22 周五,16°,9°,多云,北风2级,86 良
2024-11-23 周六,16°,9°,多云,东北风2级,29 优
2024-11-24 周日,17°,13°,阴~小雨,东风3级,32 优
2024-11-25 周一,17°,8°,阴~小雨,西风2级,31 优
2024-11-26 周二,11°,5°,晴~多云,西北风4级,34 优
2024-11-27 周三,13°,3°,晴,西北风4级,50 优
2024-11-28 周四,14°,4°,晴,西风4级,65 良
2024-11-29 周五,16°,4°,晴,西北风3级,52 良
2024-11-30 周六,18°,7°,晴,西南风2级,59 良
