日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,5°,-8°,阴~小雪,西南风2级,24 优
2024-03-02 周六,4°,-9°,阴~小雪,西南风4级,24 优
2024-03-03 周日,2°,-13°,阴~小雪,西南风6级,29 优
2024-03-04 周一,0°,-14°,晴,西南风5级,31 优
2024-03-05 周二,0°,-17°,阴~多云,西南风3级,31 优
2024-03-06 周三,0°,-14°,阴~多云,西南风3级,28 优
2024-03-07 周四,0°,-13°,阴~多云,西南风3级,26 优
2024-03-08 周五,0°,-17°,多云~晴,西南风2级,28 优
2024-03-09 周六,0°,-14°,晴,西风2级,24 优
2024-03-10 周日,5°,-12°,阴~多云,西风2级,24 优
2024-03-11 周一,4°,-12°,阴~多云,西风2级,24 优
2024-03-12 周二,1°,-10°,阴~多云,西南风2级,27 优
2024-03-13 周三,3°,-11°,阴,西南风2级,28 优
2024-03-14 周四,0°,-11°,多云~晴,西南风4级,33 优
2024-03-15 周五,3°,-12°,晴~多云,西南风3级,25 优
2024-03-16 周六,2°,-13°,晴,西南风3级,23 优
2024-03-17 周日,1°,-10°,多云,西风2级,28 优
2024-03-18 周一,2°,-10°,阴,西风2级,25 优
2024-03-19 周二,0°,-12°,阴~多云,西风2级,27 优
2024-03-20 周三,4°,-9°,晴,西风2级,27 优
2024-03-21 周四,7°,-7°,多云~晴,西风2级,26 优
2024-03-22 周五,8°,-8°,晴,西南风3级,23 优
2024-03-23 周六,4°,-8°,多云,西南风2级,23 优
2024-03-24 周日,7°,-7°,阴~多云,西风2级,25 优
2024-03-25 周一,4°,-9°,晴,西南风2级,32 优
2024-03-26 周二,5°,-8°,晴,西南风2级,30 优
2024-03-27 周三,8°,-5°,阴~多云,西南风2级,27 优
2024-03-28 周四,13°,-5°,多云~晴,西南风3级,30 优
2024-03-29 周五,11°,-8°,阴~晴,西南风3级,27 优
2024-03-30 周六,9°,-5°,阴~阵雪,西南风3级,28 优
2024-03-31 周日,7°,-6°,多云~晴,西南风4级,34 优
