日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,27°,15°,多云,东北风3级,84 良
2024-07-02 周二,28°,16°,阴~大雨,东风3级,48 优
2024-07-03 周三,20°,18°,大雨~小雨,西南风4级,23 优
2024-07-04 周四,26°,18°,雾~多云,西南风3级,37 优
2024-07-05 周五,24°,19°,小雨~多云,西风2级,53 良
2024-07-06 周六,24°,19°,中雨,东南风2级,50 优
2024-07-07 周日,25°,22°,阴~小雨,西北风2级,40 优
2024-07-08 周一,27°,17°,多云~晴,东北风3级,64 良
2024-07-09 周二,28°,17°,阴~晴,东北风3级,51 良
2024-07-10 周三,29°,21°,多云~晴,北风1级,61 良
2024-07-11 周四,28°,21°,多云~晴,西南风2级,63 良
2024-07-12 周五,29°,20°,多云~小雨,西南风1级,71 良
2024-07-13 周六,30°,20°,雾~晴,西南风2级,69 良
2024-07-14 周日,31°,21°,多云~晴,西南风1级,62 良
2024-07-15 周一,30°,22°,多云~晴,西南风2级,67 良
2024-07-16 周二,31°,22°,阴~小雨,西南风3级,41 优
2024-07-17 周三,28°,22°,小雨~晴,西南风3级,25 优
2024-07-18 周四,29°,22°,阴~晴,西南风3级,43 优
2024-07-19 周五,31°,21°,多云~小雨,西南风4级,58 良
2024-07-20 周六,27°,22°,阴~多云,西南风4级,31 优
2024-07-21 周日,29°,23°,阴~小雨,西南风3级,36 优
2024-07-22 周一,31°,21°,阴~中雨,西南风4级,31 优
2024-07-23 周二,29°,22°,阴~中雨,西南风3级,36 优
2024-07-24 周三,28°,22°,中雨~多云,西北风2级,23 优
2024-07-25 周四,28°,24°,小雨~大雨,西南风3级,30 优
2024-07-26 周五,26°,22°,大雨~小雨,南风3级,25 优
2024-07-27 周六,29°,23°,阴~中雨,西南风3级,18 优
2024-07-28 周日,25°,21°,大暴雨~小雨,西南风2级,13 优
2024-07-29 周一,30°,21°,阴~多云,西南风3级,25 优
2024-07-30 周二,30°,22°,阴~中雨,西南风3级,31 优
2024-07-31 周三,29°,22°,中雨,西南风5级,25 优
